index,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
32604377,20210706,32604377,10431953,blue,Kamal.,blue,R&B/Soul,"37,387",#잔잔 #감성 #팝송 #노래추천
32607391,20210706,32607391,10432581,SHAKE THE SNOW GLOBE (DELUXE),Russ,3AM (feat. Ty Dolla $ign),랩/힙합,"8,955",#기분전환 #팝 #감성 #팝송
32608398,20210706,32608398,10432758,꼰대인턴 OST Part 1,영탁,꼰대라떼,트로트,"16,631",#트로트 #성인음악탑백 #미스터트롯
32611663,20210706,32611663,10433212,Casual,"Johnny Stimson , Jesse Barrera , Jeff Bernat",Casual,R&B/Soul,"25,102",#휴식 #카페 #팝 #재즈
32613646,20210706,32613646,10433644,가족사진 (2020),김진호 (SG워너비),가족사진 (2020),포크/블루스,"7,635",#발라드 #포크탑백 #포크 #노래방
32614125,20210706,32614125,10433754,슬기로운 의사생활 OST Part 11,전미도,사랑하게 될 줄 알았어,"발라드, 국내드라마","137,149",#겨울 #회상 #좋아요10만 #감성
32615707,20210706,32615707,10434030,사랑의 콜센타 PART7,영탁,옆집오빠,트로트,"8,957",#트로트 #성인음악탑백 #성인가요
32626922,20210706,32626922,10436135,꼰대인턴 OST Part 2,이찬원,시절인연 (時節因緣),트로트,"21,404",#트로트 #성인음악탑백 #기분전환
32630867,20210706,32630867,10436720,"Bad Boy (with Wiz Khalifa, bbno$, MAX)","Yung Bae , bbno$ , MAX , Wiz Khalifa","Bad Boy (with Wiz Khalifa, bbno$, MAX)",일렉트로니카,"15,187",#기분전환 #드라이브 #여행
32631368,20210706,32631368,10436829,티키타카,뽀로로,티키타카,어린이/태교,"1,853",#동요모음 #최신 #동요
32631950,20210706,32631950,10436942,슬기로운 의사생활 OST Part 12,미도와 파라솔,"너에게 난, 나에게 넌",OST,"70,973",#ost탑백 #OST #슬기로운의사생활
32632366,20210706,32632366,10437021,"ハルジオン (봄망초, Harujion)",YOASOBI,"ハルジオン (봄망초, Harujion)",J-POP,"3,155",#일본 #보컬로이드 #JPOP #우타이테
32632367,20210706,32632367,10437022,"あの夢をなぞって (그 꿈을 덧그리며, Ano Yumewo Nazotte)",YOASOBI,"あの夢をなぞって (그 꿈을 덧그리며, Ano Yumewo Nazotte)",J-POP,"3,375",#태현 #투모로우바이투게더 #아이돌 #JPOP
32632368,20210706,32632368,10437023,"夜に駆ける (밤을 달리다, Into The Night / Yoru ni Kakeru)",YOASOBI,"夜に駆ける (밤을 달리다, Into The Night / Yoru ni Kakeru)",J-POP,"16,263",#EDM #틱톡 #일본노래 #JPOP
32634573,20210706,32634573,10437440,팬텀싱어3 Episode.6,"김바울 , 최성훈 , 존 노",바람이 되어,클래식,"4,205",#라포엠 #팬텀싱어 #크로스오버 #팬텀싱어3
32636656,20210706,32636656,10437786,MORE & MORE,TWICE (트와이스),MORE & MORE,댄스,"77,788",#댄스 #아이돌 #스트레스 #운동
32642553,20210706,32642553,10438838,Still New,I Saw You Yesterday,Still New,J-POP,46,#기분전환 #팝 #감성 #팝송
32646755,20210706,32646755,10439508,슬기로운 의사생활 OST,규현 (KYUHYUN),화려하지 않은 고백,OST,"6,104",#ost탑백 #믿고들으셔도됩니다 #인생노래 #OST
32646757,20210706,32646757,10439508,슬기로운 의사생활 OST,곽진언,시청 앞 지하철 역에서,포크/블루스,"2,164",#애틋 #포크탑백 #포크 #OST
32646765,20210706,32646765,10439508,슬기로운 의사생활 OST,전미도,사랑하게 될 줄 알았어,OST,"4,772",#ost탑백 #OST모음 #드라마ost #OST
32646766,20210706,32646766,10439508,슬기로운 의사생활 OST,미도와 파라솔,"너에게 난, 나에게 넌",OST,"5,366",#ost탑백 #장르핫트랙 #ost핫트랙 #OST
32650659,20210706,32650659,10440301,어떻게 지내 (답가),런치,어떻게 지내 (답가),"랩/힙합, 인디음악","57,236",#힙합 #차트역주행 #1위못했지만 #힙합탑백
32651098,20210706,32651098,10440381,한 걸음 : 흔적,전상근,사랑은 지날수록 더욱 선명하게 남아,발라드,"65,872",#이별 #그리움 #감성
32651149,20210706,32651149,10440389,팬텀싱어3 Episode.7,"최성훈 , 유채훈 , 구본수 , 박기훈",Requiem,클래식,"5,157",#라포엠 #팬텀싱어 #크로스오버 #팬텀싱어3
32657046,20210706,32657046,10441213,김란영의 찬불가,김란영,청산은 나를 보고,종교음악,44,
32660127,20210706,32660127,10441625,Awaken The World - The 1st Album,WayV,Turn Back Time (超時空 回),월드뮤직,"7,217",#댄스 #nct #아이돌 #cznnies
32661766,20210706,32661766,10441786,Focus,"Dulce Pontes , Ennio Morricone","Morricone: Your Love (Once Upon A Time In The West) (From ""C'era Una Volta Il West"")",월드뮤직,42,#엔니오모리꼬네 #영화음악
32687924,20210706,32687924,10445793,For A Minute,WizTheMc,For A Minute,랩/힙합,"11,263",#매력적인 #감성 #팝송 #남자보컬
32695190,20210706,32695190,10447132,Bigger Love,John Legend,I Do,R&B/Soul,"16,747",#알앤비소울 #알앤비 #카페 #팝
32698101,20210706,32698101,10447520,OHAYO MY NIGHT,"디핵 (D-Hack) , PATEKO (파테코)",OHAYO MY NIGHT,랩/힙합,"42,063",#새벽 #감성 #트렌디 #팝송
32698139,20210706,32698139,10447526,MAP OF THE SOUL : 7 ~THE JOURNEY~,방탄소년단,Stay Gold,J-POP,"60,672",#BTS #방탄소년단
32698148,20210706,32698148,10447526,MAP OF THE SOUL : 7 ~THE JOURNEY~,방탄소년단,Lights,J-POP,"19,502",#BTS #방탄소년단
32698149,20210706,32698149,10447526,MAP OF THE SOUL : 7 ~THE JOURNEY~,방탄소년단,Your eyes tell,J-POP,"30,057",#BTS #방탄소년단
32698536,20210706,32698536,10447627,할무니,김호중,할무니,트로트,"28,486",#트로트 #김호중 #김호중노래 #성인가요
32698765,20210706,32698765,10447670,I-LAND Part.1 Signal Song,아이유,Into the I-LAND,댄스,"123,706",#회상 #좋아요10만 #스트레스 #운동
32718404,20210706,32718404,10451245,Loma Vista,Family Of The Year,Hero,포크/블루스/컨트리,"2,990",#드라이브 #기분전환 #포크탑백 #포크
32719810,20210706,32719810,10451518,Desce Pro Play (PA PA PA),"Anitta , Mc Zaac , Tyga",Desce Pro Play (PA PA PA),월드뮤직,"3,112",#헬스 #운동 #스포츠 #다이어트
32720013,20210706,32720013,10451566,How You Like That,BLACKPINK,How You Like That,댄스,"179,628",#회상 #좋아요10만 #스트레스 #운동
32725013,20210706,32725013,10452351,María,화사 (Hwa Sa),마리아 (Maria),댄스,"159,782",#회상 #좋아요10만 #스트레스 #운동
32725022,20210706,32725022,10452354,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),댄스,"88,306",#걸그룹 #댄스 #아이돌 #기분전환
32725616,20210706,32725616,10452461,iManini,Beraldy Dean,iManini,월드뮤직,10,#기분전환 #외출
32734372,20210706,32734372,10453701,RANDOM BOX,지코 (ZICO),Summer Hate (Feat. 비),랩/힙합,"107,499",#회상 #감성힙합 #취향저격 #좋아요10만
32738672,20210706,32738672,10454538,Error,ASH ISLAND,Error (Feat. Loopy),랩/힙합,"68,062",#힙합 #감성힙합 #취향저격 #국내힙합
32741236,20210706,32741236,10454975,사랑의 콜센타 PART13,김호중,천년의 사랑,트로트,"15,233",#김호중 #김호중노래 #달달
32742825,20210706,32742825,10455217,Shoot For The Stars Aim For The Moon,Pop Smoke,What You Know Bout Love,랩/힙합,"9,957",#힙합 #예술적인 #태민 #힙합탑백
32761177,20210706,32761177,10457911,모든 생명들아 소리쳐,WELOVE,모든 생명들아 소리쳐,CCM,"3,686",#찬양 #CCM #CCM탑백
32767477,20210706,32767477,10459011,Legends Never Die,"Juice WRLD , Marshmello",Come & Go,랩/힙합,"11,712",#힙합 #그루브 #알앤비 #외국힙합
32768945,20210706,32768945,10459197,여름 안에서 by 싹쓰리,"싹쓰리 (유두래곤, 린다G, 비룡)",여름 안에서 by 싹쓰리 (Feat. 황광희),댄스,"97,948",#여름 #댄스 #스트레스 #운동
32769008,20210706,32769008,10459204,어노인팅 예배캠프 2020,어노인팅,감사로 주님께 나가세,CCM,"2,035",#찬양 #CCM #CCM탑백
32769012,20210706,32769012,10459204,어노인팅 예배캠프 2020,어노인팅,주께서 내 맘에 두신 기쁨은,CCM,"2,455",#찬양 #CCM #CCM탑백
32771743,20210706,32771743,10446066,DEMIDEVIL,Ashnikko,Daisy,랩/힙합,"6,594",#HipHop #감성 #외국힙합 #팝송
32776088,20210706,32776088,10460286,"たぶん (아마도, Tabun)",YOASOBI,"たぶん (아마도, Tabun)",J-POP,"5,602",#일본노래 #JPOP #애니
32777869,20210706,32777869,10460544,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,발라드,"66,894",#이별 #감성 #발라드 #발라드탑백
32783897,20210706,32783897,10461806,Loved You First,Gabe Bondoc,Loved You First,포크/블루스/컨트리,558,#일상 #홈카페 #카페 #팝
32788258,20210706,32788258,10462462,Funny,"Jasmine Thompson , Zedd",Funny,일렉트로니카,"13,913",#여행 #헬스 #운동 #팝
32790516,20210706,32790516,10462799,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,댄스,"232,973",#여름 #회상 #여름노래 #좋아요10만
32790874,20210706,32790874,10462855,Rainy day,PATEKO (파테코),"Rainy day (Feat. ASH ISLAND, Skinny Brown)",랩/힙합,"63,560",#감성힙합 #취향저격 #감성 #팝송
32793011,20210706,32793011,10395741,The Prelude,Pink Sweat$,At My Worst,R&B/Soul,"76,330",#기분전환 #팝 #감성 #팝송
32794652,20210706,32794652,10463600,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),발라드,"194,750",#회상 #발라드 #좋아요10만 #발라드탑백
32804881,20210706,32804881,10465326,러브의 자장가 첫번째 앨범,러브,모차르트의 자장가,어린이/태교,506,#포레스텔라 #자장가
32804882,20210706,32804882,10465326,러브의 자장가 첫번째 앨범,러브,슈베르트의 자장가,어린이/태교,442,#포레스텔라 #자장가
32808616,20210706,32808616,10465994,홀로,이하이,홀로,R&B/Soul,"136,508",#이별 #회상 #비오는날 #좋아요10만
