index,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
32323333,20210706,32323333,10377157,내일은 미스터트롯 예선곡 베스트,이찬원,진또배기,트로트,"36,834",#트로트 #성인음악탑백 #미스터트롯
32323334,20210706,32323334,10377157,내일은 미스터트롯 예선곡 베스트,영탁,사내,트로트,"13,132",#트로트 #성인음악탑백 #미스터트롯
32323639,20210706,32323639,10377241,사랑의 불시착 OST Part 5,김재환,어떤 날엔,OST,"61,142",#이별 #센치 #발라드 #그리움
32324026,20210706,32324026,10377359,Music To Be Murdered By,Eminem,Godzilla (Feat. Juice WRLD),랩/힙합,"32,967",#외힙 #헬스 #스포츠 #외국힙합
32332594,20210706,32332594,10379211,그때는 이 거리가 아름다웠다,잠골버스,그때는 이 거리가 아름다웠다,인디음악,"17,145",#발라드 #인디탑백 #인디
32332834,20210706,32332834,10374368,Birds of Prey: The Album,Doja Cat,Boss Bitch,랩/힙합,"28,560",#헬스 #운동 #감성 #팝송
32334447,20210706,32334447,10379668,진인사대천명(盡人事待天命),호미들,진인사대천명,인디음악,"9,447",#힙합 #인디탑백 #감성 #인디
32335924,20210706,32335924,10380001,불교와 명상,치유,불교 명상 음악,종교음악,33,
32341095,20210706,32341095,10380994,내일은 미스터트롯 데스매치 PART1,영탁,막걸리 한잔,트로트,"41,934",#트로트 #미스터트롯 #성인가요
32345931,20210706,32345931,10381712,이태원 클라쓰 OST Part.2,가호 (Gaho),시작,"록/메탈, 국내드라마","215,213",#회상 #좋아요10만 #운동 #다이어트
32357931,20210706,32357931,10384660,"always, i’ll care",Jeremy Zucker,"always, i'll care",POP,"72,487",#발라드 #피아노 #감성 #팝송
32361098,20210706,32361098,10385262,이태원 클라쓰 OST Part.3,하현우 (국카스텐),돌덩이,"록/메탈, 국내드라마","109,017",#회상 #명장면 #좋아요10만 #드라마ost
32361385,20210706,32361385,10385312,Blueberry Faygo,Lil Mosey,Blueberry Faygo,랩/힙합,"25,775",#하트시그널BGM #운동 #하트시그널 #클럽
32362644,20210706,32362644,10385597,Don't Play,Anne-Marie,Birthday,POP,"76,538",#편집샵 #감성 #힙한 #팝송
32362652,20210706,32362652,10385603,내일은 미스터트롯 데스매치 PART2,임영웅,일편단심 민들레야,트로트,"36,256",#트로트 #임영웅 #미스터트롯
32362655,20210706,32362655,10385603,내일은 미스터트롯 데스매치 PART2,이찬원,울긴 왜 울어,트로트,"18,175",#트로트 #성인음악탑백 #미스터트롯
32373070,20210706,32373070,10387731,Merry-Go-Round (from 'Howl's Moving Castle'),Joe Hisaishi,Merry-Go-Round (from 'Howl's Moving Castle'),클래식,"8,076",#위로 #상처 #휴일 #힐링
32373713,20210706,32373713,10387838,To Die For,Sam Smith,To Die For,POP,"87,803",#감각적인 #드라이브 #감성 #팝송
32374575,20210706,32374575,10388012,Constant,"Jeremy Passion , Jesse Barrera",Constant,R&B/Soul,"7,103",#매장음악 #드라이브 #카페 #팝
32375186,20210706,32375186,10388119,OK ORCHESTRA,AJR,Bang!,POP,"34,505",#월간믿듣선 #팝탑백 #팝 #믿고_듣는_선민
32377231,20210706,32377231,10388581,이태원 클라쓰 OST Part.6,김필,그때 그 아인,"발라드, 국내드라마","110,493",#가을 #회상 #좋아요10만 #감성
32377895,20210706,32377895,10388663,death bed (feat. beabadoobee),Powfu,death bed (feat. beabadoobee),랩/힙합,"60,704",#Lofi #vlog #감성 #팝송
32378104,20210706,32378104,10388744,사랑의 불시착 OST Part 11,아이유,마음을 드려요,"발라드, 국내드라마","210,474",#이별 #회상 #비오는날 #좋아요10만
32381408,20210706,32381408,10389281,BLOOM*IZ,IZ*ONE (아이즈원),FIESTA,댄스,"123,163",#댄스 #회상 #좋아요10만 #아이돌
32392747,20210706,32392747,10391179,When It's All Said And Done... Take Time,Giveon,HEARTBREAK ANNIVERSARY,R&B/Soul,"28,019",#감성 #팝송 #Pop #빌보드
32397381,20210706,32397381,10391899,내일은 미스터트롯 트롯 에이드 베스트,임영웅,어느 60대 노부부이야기,트로트,"70,593",#트로트 #임영웅 #미스터트롯
32397931,20210706,32397931,10392043,FREEDOM PIANO STORIES 4,Hisaishi Joe,인생의 회전목마 (Merry-Go-Round) (하울의 움직이는 성 OST),뉴에이지,"2,111",#장르핫트랙 #뉴에이지 #뉴에이지탑백 #뉴에이지핫트랙
32399830,20210706,32399830,10377346,MAP OF THE SOUL : 7,방탄소년단,ON,랩/힙합,"262,751",#회상 #좋아요10만 #운동 #다이어트
32404626,20210706,32404626,10393226,동그라미,최유리,동그라미,포크/블루스,"12,157",#밤 #새벽감성 #인디 #산책
32407068,20210706,32407068,10393649,道 명상의 말씀 1,김도현,마음을 다스리는 지혜,종교음악,29,
32411072,20210706,32411072,10394222,ily (i love you baby),Surf Mesa,ily (i love you baby) (Feat. Emilee),일렉트로니카,"54,330",#기분좋은 #주다사 #팝 #zoodasa
32420293,20210706,32420293,10395853,Manila,Young Cocoa,Manila,랩/힙합,"12,284",#드라이브 #매장음악 #집콕
32427176,20210706,32427176,10397120,MBC 기억록 X 소향,소향,"극복의 노래, 아리랑",국악,166,#국악 #슬픈 #퓨전국악 #국악탑백
32438894,20210706,32438894,10399190,어떻게 지내,오반 (OVAN),어떻게 지내 (Prod. By VAN.C),"랩/힙합, 인디음악","161,605",#이별 #그리움 #잔잔 #노래추천
32441451,20210706,32441451,10399605,내일은 미스터트롯 레전드 미션 베스트,임영웅,보라빛 엽서,트로트,"44,909",#트로트 #임영웅 #미스터트롯
32441452,20210706,32441452,10399605,내일은 미스터트롯 레전드 미션 베스트,영탁,추억으로 가는 당신,트로트,"17,605",#트로트 #미스터트롯 #성인가요
32441464,20210706,32441464,10399605,내일은 미스터트롯 레전드 미션 베스트,"정동원 , 장민호",파트너,트로트,"22,753",#트로트 #미스터트롯 #성인가요
32442668,20210706,32442668,10399843,골방라이브,달빛마을,이 시간 너의 맘 속에 (Vocal 짐니),CCM,"2,787",#찬양 #CCM #CCM탑백
32442670,20210706,32442670,10399843,골방라이브,달빛마을,"예수 나의 치료자 (Vocal 김상진, 짐니)",CCM,"1,548",#찬양 #CCM #CCM탑백
32442673,20210706,32442673,10399843,골방라이브,달빛마을,주 없이 살 수 없네 (Vocal 짐니),CCM,"2,696",#찬양 #CCM #CCM탑백
32442872,20210706,32442872,10399893,이룰수없는,고영열,이룰수없는,국악,"1,341",#고전풍가요 #사극OST #국악 #국악탑백
32444920,20210706,32444920,10400393,명상의 말씀과 염불 예불천수경 1집,엄주환,한글 반야심경,종교음악,29,
32445339,20210706,32445339,10400522,IT'z ME,ITZY (있지),WANNABE,댄스,"101,186",#댄스 #회상 #좋아요10만 #아이돌
32454045,20210706,32454045,10401809,Heaven & Hell,Ava Max,Kings & Queens,POP,"41,649",#자신감 #헬스 #당당한 #운동
32455023,20210706,32455023,10401953,슬기로운 의사생활 OST Part 1,권진아,Lonely Night,OST,"42,539",#이별 #그리움 #카페 #잔잔한
32457747,20210706,32457747,10402513,내일은 미스터트롯 결승전 베스트,장민호,역쩐인생:가난한 남자,트로트,"11,334",#트로트 #미스터트롯 #성인가요
32457748,20210706,32457748,10402513,내일은 미스터트롯 결승전 베스트,김희재,나는 남자다,트로트,"9,830",#트로트 #미스터트롯 #성인가요
32457750,20210706,32457750,10402513,내일은 미스터트롯 결승전 베스트,정동원,여백,트로트,"23,868",#트로트 #미스터트롯 #성인가요
32457751,20210706,32457751,10402513,내일은 미스터트롯 결승전 베스트,영탁,찐이야,트로트,"60,103",#트로트 #미스터트롯 #성인가요
32457752,20210706,32457752,10402513,내일은 미스터트롯 결승전 베스트,이찬원,딱! 풀,트로트,"16,462",#트로트 #미스터트롯 #성인가요
32457753,20210706,32457753,10402513,내일은 미스터트롯 결승전 베스트,임영웅,두 주먹,트로트,"39,181",#트로트 #임영웅 #미스터트롯
32457756,20210706,32457756,10402513,내일은 미스터트롯 결승전 베스트,김호중,고맙소,트로트,"36,273",#트로트 #김호중 #김호중노래 #성인가요
32457759,20210706,32457759,10402513,내일은 미스터트롯 결승전 베스트,이찬원,18세 순이,트로트,"18,402",#트로트 #미스터트롯 #성인가요
32473998,20210706,32473998,10405712,슬기로운 의사생활 OST Part 2,조이 (JOY),좋은 사람 있으면 소개시켜줘,"발라드, 국내드라마","116,448",#회상 #좋아요10만 #감성 #팝송
32474772,20210706,32474772,10405923,After Hours,The Weeknd,In Your Eyes,R&B/Soul,"25,430",#주다사 #음색 #팝송 #zoodasa
32474773,20210706,32474773,10405923,After Hours,The Weeknd,Save Your Tears,R&B/Soul,"15,532",#주다사 #영국 #오피셜 #zoodasa
32477462,20210706,32477462,10406411,마커스워십 ON Vol.5,마커스워십 (MARKERS WORSHIP),실로암 (SILOAM) (인도 : 소진영),CCM,"1,809",#CCM #CCM탑백 #ccm모음 #익숙한
32479576,20210706,32479576,10406889,GONE,"TOIL , 릴러말즈 (Leellamarz)",GONE (Feat. Paloalto) (Prod. TOIL),랩/힙합,"49,200",#감성힙합 #취향저격 #잔잔 #노래추천
32486613,20210706,32486613,10408131,CEREMONIA,엠씨더맥스 (M.C the MAX),처음처럼,발라드,"106,176",#회상 #추억 #좋아요10만 #감성
32489312,20210706,32489312,10408634,Golden Hour,"Kygo , Zara Larsson , Tyga",Like It Is,일렉트로니카,"9,714",#매장음악 #드라이브 #헬스 #운동
32489498,20210706,32489498,10408680,CALM,5 Seconds of Summer,High,POP,"71,469",#이별 #그리움 #감성 #팝송
32491274,20210706,32491274,10409054,슬기로운 의사생활 OST Part 3,조정석,아로하,"발라드, 국내드라마","220,772",#회상 #새벽 #밤 #좋아요10만
32493944,20210706,32493944,10409617,원기옥,한요한,400km (Feat. Kid Milli),랩/힙합,"48,267",#힙합 #감성힙합 #취향저격 #국내힙합
32497239,20210706,32497239,10410240,Maiochiruhanabira (Fallin' Flower),세븐틴,Maiochiruhanabira (Fallin' Flower),J-POP,"29,491",#일본노래 #JPOP #Jpop탑백
32502713,20210706,32502713,10411261,연애의 참견 시즌3 - OST Part.6,정효빈,이제는 어떻게 사랑을 하나요,OST,"36,874",#이별 #ost탑백 #감성 #OST
32508053,20210706,32508053,10412319,내일은 미스터트롯 우승자 특전곡,임영웅,이제 나만 믿어요,성인가요,"131,609",#트로트 #회상 #임영웅 #좋아요10만
32508146,20210706,32508146,10412335,슬기로운 의사생활 OST Part 4,규현 (KYUHYUN),화려하지 않은 고백,"발라드, 국내드라마","72,417",#발라드 #카페 #잔잔한 #발라드탑백
32508671,20210706,32508671,10412466,Toosie Slide,Drake,Toosie Slide,랩/힙합,"19,376",#차트 #외힙 #외국힙합 #팝송
32508702,20210706,32508702,10412474,Midnight Waves,Canyon City,Waves,포크/블루스/컨트리,480,#멜로너 #기분전환 #한강 #Pop
32509043,20210706,32509043,10412552,Life Like 18,JAEHA (재하),안았어야해 (Feat. Futuristic Swaver),"랩/힙합, 인디음악","18,759",#힙합탑백 #힙합 #감성
32513984,20210706,32513984,10413771,STELLA I,스텔라장 (Stella Jang),빌런 (Villain),포크/블루스,"35,592",#자존감 #힐링 #하
32515530,20210706,32515530,10414146,넬라 판타지아,포레스텔라(Forestella),넬라 판타지아,클래식,"4,384",#위로 #보첼리 #힐링 #아리아
32517163,20210706,32517163,10414491,Please Don't Go,Mykey,Please Don't Go,포크/블루스/컨트리,322,#여름밤 #팝 #장르불문 #청량함
32521396,20210706,32521396,10415229,슬기로운 의사생활 OST Part 5,어반자카파,그대 고운 내사랑,OST,"46,254",#카페 #잔잔한 #사랑 #봄
32523189,20210706,32523189,10415634,Surrender,Natalie Taylor,Surrender,포크/블루스/컨트리,"3,175",#하트시그널BGM #몽환 #밤 #하트시그널
32525311,20210706,32525311,10416034,사실 나는,경서예지,사실 나는 (Feat.전건호),발라드,"76,740",#이별 #발라드 #그리움 #발라드탑백
32533738,20210706,32533738,10417938,슬기로운 의사생활 OST Part 6,곽진언,시청 앞 지하철 역에서,"포크/블루스, 국내드라마","26,727",#ost탑백 #OST #슬기로운의사생활
32539832,20210706,32539832,10419069,BLAME IT ON BABY,DaBaby,ROCKSTAR (Feat. Roddy Ricch),랩/힙합,"29,782",#차트 #그루브 #느낌있는 #팝송
32541983,20210706,32541983,10399595,I Don't Think I'm Okay,Bazzi,I Got You,R&B/Soul,"11,982",#주말 #잔잔 #팝 #노래추천
32542151,20210706,32542151,10419632,Goldmine,Gabby Barrett,I Hope (feat. Charlie Puth),포크/블루스/컨트리,"6,541",#읏추읏추 #버스 #팝
32544401,20210706,32544401,10420071,Ghost In A Flower,Yorushika,Ghost In A Flower,J-POP,"6,636",#보컬로이드 #JPOP #우타이테 #애니
32550314,20210706,32550314,10421264,"정규 2집 '마음, 둘'",폴킴,우리 만남이,R&B/Soul,"61,777",#이별 #추억 #그리움 #감성
32553649,20210706,32553649,10421929,슬기로운 의사생활 OST Part 7,제이레빗(J Rabbit),넌 언제나,록/메탈,"17,094",#이어폰_나눠끼고 #카페 #달달하게 #잔잔한
32556188,20210706,32556188,10422418,팬텀싱어3 Episode.1,"유채훈 , 안동영",Love poem,클래식,"4,619",#라포엠 #팬텀싱어 #크로스오버 #팬텀싱어3
32556676,20210706,32556676,10422586,Red Moon : SUPERNOVA,마크툽 (MAKTUB),너를 그린 우주 (Insomnia2020) (Feat. 이라온),"R&B/Soul, 인디음악","43,487",#인디탑백 #잔잔한 #감성 #인디
32559781,20210706,32559781,10423289,NONSTOP,오마이걸 (OH MY GIRL),살짝 설렜어 (Nonstop),댄스,"179,841",#걸그룹 #회상 #좋아요10만 #기분전환
32559782,20210706,32559782,10423289,NONSTOP,오마이걸 (OH MY GIRL),Dolphin,댄스,"185,882",#걸그룹 #회상 #좋아요10만 #기분전환
32560486,20210706,32560486,10423481,고다 애니웨어 : 귀멸의 칼날 2nd,고다 (GODA),탄지로의 노래 / 귀멸의 칼날 EP19 / Demon Slayer EP19,뉴에이지,"5,856",#장르핫트랙 #뉴에이지 #뉴에이지탑백 #뉴에이지핫트랙
32560653,20210706,32560653,10423519,나보다 더 사랑해요,김호중,나보다 더 사랑해요,트로트,"42,958",#트로트 #김호중 #김호중노래 #성인가요
32561690,20210706,32561690,10423707,슬기로운 의사생활 OST Part 8,휘인 (Whee In),내 눈물 모아,OST,"51,867",#노래방 #OST #발라드 #슬기로운의사생활
32567403,20210706,32567403,10424684,Be Kind,"Marshmello , Halsey",Be Kind,일렉트로니카,"36,615",#여행 #헬스 #운동 #팝
32567833,20210706,32567833,10424728,주라주라,둘째이모 김다비,주라주라,트로트,"34,886",#트로트 #성인음악탑백 #미스터트롯
32569780,20210706,32569780,10425097,Care Less,"TRXD , Peder Elias",Care Less,일렉트로니카,"6,864",#매장음악 #드라이브 #기분전환 #신나는
32570501,20210706,32570501,10425277,서면역에서,순순희,서면역에서,"발라드, 인디음악","53,162",#발라드 #한강 #발라드탑백 #산책
32572926,20210706,32572926,10425647,Happy,태연 (TAEYEON),Happy,R&B/Soul,"85,872",#벚꽃 #운전 #운동 #봄
32576650,20210706,32576650,10426284,Slime & B,"Young Thug , Chris Brown",Go Crazy,랩/힙합,"23,254",#기분전환 #팝 #감성 #팝송
32578498,20210706,32578498,10426648,에잇,아이유,에잇(Prod.&Feat. SUGA of BTS),록/메탈,"361,724",#하트시그널BGM #회상 #좋아요10만 #하트시그널
32580203,20210706,32580203,10427024,Honey In The Summer,PUBLIC,Honey In The Summer,록/메탈,"8,292",#주다사 #여행 #팝 #zoodasa
32582913,20210706,32582913,10427529,슬기로운 의사생활 OST Part 9,이소라,바람이 부네요,OST,"18,500",#이별 #휴식 #감성 #힐링
32583036,20210706,32583036,10427559,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,나비와 고양이 (feat.백현 (BAEKHYUN)),"인디음악, 포크/블루스","160,042",#설렘 #썸 #회상 #좋아요10만
32584913,20210706,32584913,10428037,Stuck with U,"Ariana Grande , Justin Bieber",Stuck with U,POP,"103,791",#회상 #주말 #좋아요10만 #팝
32585254,20210706,32585254,10428176,Walk The Other Way,WELOVE,세상 가운데 소망을,CCM,"3,724",#CCM #CCM탑백 #ccm모음 #익숙한
32586848,20210706,32586848,10428497,The Book of Us : The Demon,DAY6 (데이식스),Zombie,록/메탈,"87,524",#운전 #운동 #감성 #노래가사
32586850,20210706,32586850,10428497,The Book of Us : The Demon,DAY6 (데이식스),Love me or Leave me,록/메탈,"58,546",#댄스 #아이돌 #수록곡 #신나는
32594045,20210706,32594045,10427559,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,빈칸을 채워주시오,포크/블루스,"22,940",#차트역주행 #초여름 #청량 #1위못했지만
32594046,20210706,32594046,10427559,사춘기집Ⅱ 꽃 본 나비,볼빨간사춘기,품,포크/블루스,"44,304",#설렘 #썸 #헬스장 #운동
32596005,20210706,32596005,10430249,Ghetto Kids,호미들,사이렌,랩/힙합,"61,445",#힙합 #새벽 #트렌디 #국내힙합
32596008,20210706,32596008,10430249,Ghetto Kids,호미들,꽉 쥔 주먹속의 라이터,랩/힙합,"20,637",#국내힙합 #힙합 #감성
32596412,20210706,32596412,10430354,poems of the past,"Sarcastic Sounds , Powfu , Rxseboy",ill come back to you,랩/힙합,"20,159",#기분전환 #팝 #감성 #팝송
32596760,20210706,32596760,10430453,슬기로운 의사생활 OST Part 10,미도와 파라솔,밤이 깊었네 (Drama Ver.),"록/메탈, 국내드라마","30,300",#ost탑백 #OST #슬기로운의사생활
32603211,20210706,32603211,10431704,I can't tell you everything,CHEEZE (치즈),수채화,포크/블루스,"5,655",#비 #비오는날 #카페 #잔잔한
