index,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
331963,20210706,331963,24051,클래식 오디세이 Gold,Kurt Masur,"베토벤 : 교향곡 5번 ""운명"" 1악장",클래식,"3,682",#클래식 #명곡 #효리네민박 #이효리
331968,20210706,331968,24051,클래식 오디세이 Gold,London Philharmonic Orchestra,"드보르작 : 교향곡 9번 ""신세계로부터"" 4악장",클래식,"3,936",#작업할때 #클래식 #휴식
331970,20210706,331970,24051,클래식 오디세이 Gold,Ton Koopman,바흐 : G선상의 아리아,클래식,"3,076",#클래식 #집중 #명곡
331976,20210706,331976,24051,클래식 오디세이 Gold,Bolshoi Theater Symphony Orchestra,"차이코프스키 : 호두까기 인형 중 ""꽃의 왈츠""",클래식,"1,951",#노동요 #일할때 #클래식
337201,20210706,337201,24362,A Rush Of Blood To The Head,Coldplay,The Scientist,록/메탈,"62,015",#카페음악 #카페 #휴식 #힐링
341542,20210706,341542,24633,The Eminem Show,Eminem,Without Me,랩/힙합,"26,847",#추억 #노래방 #발라드
354635,20210706,354635,25274,Let Go,Avril Lavigne,Sk8er Boi,록/메탈,"33,696",#하이틴 #감성 #기분전환 #팝송
356530,20210706,356530,25394,Onka's Big Moka,Toploader,Dancing In The Moonlight,록/메탈,"23,736",#zoodasa #주다사 #휴일 #집콕
375889,20210706,375889,26733,Almost Blue: Best Of Chet Baker,Chet Baker,My Funny Valentine,재즈,"4,557",#재현 #랩몬스터 #nct #방탄소년단
377480,20210706,377480,26838,The End Of The World / Nice Girls Don't Stay For Breakfast,Julie London,Fly Me To The Moon,재즈,"6,330",#추억 #보사노바 #재즈 #올드팝
380153,20210706,380153,27046,Unplugged,Eric Clapton,Tears In Heaven,포크/블루스/컨트리,"2,731",#팝 #KIMJAEHWAN #김재환
384204,20210706,384204,27363,인어공주 OST,Jodi Benson,"Part of Your World (From ""The Little Mermaid"" / Soundtrack Version)",어린이/태교,"17,902",#디즈니 #OST
386343,20210706,386343,27522,토이 스토리 OST,Randy Newman,"You've Got a Friend in Me (From ""Toy Story""/Soundtrack Version)",포크/블루스/컨트리,"29,944",#디즈니 #OST #영화
396801,20210706,396801,28289,Romanza,Andrea Bocelli,Time To Say Goodbye (Con Te Partiro) (Feat. Sarah Brightman) (tvN 수목드라마 슬기로운 감빵생활 삽입곡),클래식,"7,944",#팝
397864,20210706,397864,28363,Simple Pleasures,Bobby McFerrin,"Don't Worry, Be Happy",재즈,"4,291",#추억 #샤워 #아침 #올드팝
405110,20210706,405110,28803,Premier Album,Elsa,Un Roman D'amitie,월드뮤직,"2,243",#팝 #추억 #스위트 #감성
409191,20210706,409191,29081,Nellyville,Nelly,Dilemma (Feat. Kelly Rowland),랩/힙합,"22,043",#추억 #노래방 #까페 #잔잔한
415711,20210706,415711,29477,Most Famous Hits Frank Sinatra,Frank Sinatra,"New York, New York",재즈,"1,939",#재즈 #장르핫트랙 #재즈탑백 #재즈핫트랙
415748,20210706,415748,29477,Most Famous Hits Frank Sinatra,Frank Sinatra,My Way,재즈,"4,420",#비긴어게인3 #비긴어게인 #재즈 #재즈탑백
418168,20210706,418168,28985,국화꽃 향기 OST,성시경,희재,"발라드, 국내영화","87,570",#추억 #노래방 #회상
418598,20210706,418598,26396,Like Them,거미,친구라도 될 걸 그랬어,R&B/Soul,"84,054",#2000년 #싸이월드 #이별 #그리움
420424,20210706,420424,29678,Espresso,델리스파이스,고백,"인디음악, 록/메탈","111,190",#2000년 #싸이월드 #추억 #2000년대
420520,20210706,420520,27516,Like The Bible,빅마마,거부,R&B/Soul,"5,410",#추억 #회상 #2000년대
420522,20210706,420522,27516,Like The Bible,빅마마,Break Away,R&B/Soul,"13,391",#추억 #노래방 #발라드
420534,20210706,420534,27516,Like The Bible,빅마마,체념,"발라드, R&B/Soul","67,282",#2000년 #싸이월드 #추억 #2000년대
442241,20210706,442241,329,애아불애 / 愛我不愛,진혜림,Lover's Concerto,월드뮤직,"2,099",#속삭이는 #힐링 #휴식
446547,20210706,446547,30759,Concertino,Yuhki Kuramoto,Meditation,뉴에이지,"8,286",#뉴에이지 #힐링 #새벽
452514,20210706,452514,31000,Michael Buble,Michael Buble,Kissing A Fool,재즈,"7,336",#팝 #분위기 #재즈 #감성
453956,20210706,453956,31095,Chet Baker Sings,Chet Baker,Time After Time,재즈,"7,267",#보사노바 #오후 #재즈 #휴식
477626,20210706,477626,32282,총애 / 寵愛,장국영,A Thousand Dreams Of You,월드뮤직,"1,616",#추억 #OST #장국영
485716,20210706,485716,32695,Soul Free,브라운 아이드 소울,정말 사랑했을까,"발라드, R&B/Soul","76,711",#2000년 #싸이월드 #추억 #노래방
486940,20210706,486940,32764,The Very Best Of George Benson - The Greatest Hits Of All,George Benson,Nothing's Gonna Change My Love For You,재즈,"6,933",#팝 #기분전환 #팝송 #Pop
487627,20210706,487627,32804,Absolution,Muse,Time Is Running Out,록/메탈,"31,860",#신비 #스트레스 #비오는날 #운동
489055,20210706,489055,32889,Morning Of Buzz,버즈,Monologue,록/메탈,"50,975",#2000년 #싸이월드 #추억 #노래방
490467,20210706,490467,32969,From The Yellow Room,이루마,Indigo,뉴에이지,"4,796",#뉴에이지 #집중 #공부 #힐링
493145,20210706,493145,33074,For Your Memories,Acoustic Cafe,Long Long Ago,뉴에이지,"23,556",#이별 #그리움 #감성 #팝송
493148,20210706,493148,33074,For Your Memories,Acoustic Cafe,Last Carnival,뉴에이지,"59,015",#이별 #그리움 #감성 #팝송
498079,20210706,498079,33315,The Essential Simon & Garfunkel (Re-Brand),Simon & Garfunkel,Bridge Over Troubled Water,포크/블루스/컨트리,"4,494",#팝 #뉴스룸 #LP #엔딩곡
498665,20210706,498665,33336,Diary Of Alicia Keys,Alicia Keys,If I Ain't Got You,R&B/Soul,"42,306",#신비 #비오는날 #휴식 #힐링
511655,20210706,511655,33886,Feels Like Home,Norah Jones,Sunrise,재즈,"5,350",#보사노바 #까페 #재즈 #잔잔한
511656,20210706,511656,33886,Feels Like Home,Norah Jones,What Am I To You?,재즈,"10,129",#팝 #여유 #서정적
511657,20210706,511657,33886,Feels Like Home,Norah Jones,Those Sweet Words,재즈,"11,700",#서정적 #까페 #여유 #잔잔한
518260,20210706,518260,34213,Songs About Jane,Maroon 5,She Will Be Loved,록/메탈,"26,822",#신비 #서정적 #비오는날 #여유
519620,20210706,519620,34289,Can U See The Bright,린,...사랑했잖아...,R&B/Soul,"83,710",#2000년 #싸이월드 #이별 #그리움
522852,20210706,522852,34486,180 Degree,MC몽,너에게 쓰는 편지 (Feat. 린),랩/힙합,"74,539",#2000년 #싸이월드 #추억 #노래방
523778,20210706,523778,34574,More,Tamia,Officially Missing You,R&B/Soul,"27,112",#팝 #카페 #휴식 #힐링
530249,20210706,530249,34996,Riot On An Empty Street,Kings Of Convenience,Homesick,포크/블루스/컨트리,"12,043",#하트시그널 #서정적 #하트시그널BGM #여유
530251,20210706,530251,34996,Riot On An Empty Street,Kings Of Convenience,Cayman Islands (현대자동차 i40 '와이너리'편 TV광고 삽입곡),포크/블루스/컨트리,"34,477",#까페 #휴식 #힐링 #잔잔한
531840,20210706,531840,35102,Freestyle 3,프리스타일,Y (Please Tell Me Why),랩/힙합,"45,063",#2000년 #싸이월드 #추억 #2000년대
534252,20210706,534252,35269,The Nuts,더 넛츠 (The NuTs),사랑의 바보,록/메탈,"72,909",#2000년 #싸이월드 #추억 #2000년대
534649,20210706,534649,35289,비오는 거리 6 Classics(Best Classics Collection For Rainy Days),Wolfgang Amadeus Mozart,모차르트:: 피아노 소나타 11번 K.331 터어키 행진곡,클래식,"1,950",#팝 #클래식
600426,20210706,600426,41282,A Songs Best Friend,John Denver,"Take Me Home, Country Road",포크/블루스/컨트리,"4,832",#팝 #추억 #OST
