index,플레이리스트_번호,멜론DJ,플레이리스트,번호,플레이리스트_태그
496323821,496323821,Melon_핫트렌드,빌보드 The 50 Best Songs of 2021,"33359317, 33496293, 33222160, 32995666, 33460003, 32991566, 33398594, 32392747, 32962945, 33379967, 33317475, 33329894, 33507137, 33262610, 33265087, 32723903, 33183976, 33189413, 33333951, 33323005, 32951834, 32742825, 33438165, 33432956, 33276263, 33447287, 33462899, 33398835, 33211448, 33484874, 33048436, 33433769, 33333778, 33327420, 33438040, 33111832, 33164119, 33398099, 33481746, 33366440, 33422788, 33346446, 33425292, 33072250",#트렌디 #빌보드 #기분전환 #상반기 #2021 #명곡 #팝 #인기 #음색 #베스트
495876340,495876340,daniel_siwoo,상반기 국내 CCM 띵곡 ♬ 골라 듣기,"33367148, 33208342, 33568742, 33608406, 33421161, 33299062, 33406496, 33211954, 33543534, 33327204, 33191689, 33349963, 33583887, 33569375, 33219069, 33195858, 33143981, 33528231, 33131398, 33434698, 33582045, 33571152, 33400814, 33586302, 33272877, 33140435, 33414769, 33569204, 33411763, 33411796, 33337853, 33158116, 33159112, 33548334, 33434514, 33274897, 33592439, 33253443, 33497864, 33431255, 33144576, 33590777, 33159486, 33207661, 33153397, 33582180, 33299057, 33218153, 33275112, 33205508, 33549541, 33121280, 33175413",#파워DJ_CCM #상반기결산 #CCM #CCM추천 #국내ccm #CCM전문가
434961831,434961831,OST마스터,스크린을 통해 느낀 서구 고전문학,"7848081, 3904037, 7872334, 7848066, 1762555, 3331757, 1762549, 4217408, 30063059, 14606149, 3904043, 3331748, 4059371, 7848068, 3331765, 4059353, 7872348, 11143085, 1762445, 1762560, 30063065, 646184, 7848075, 4059370, 7848074, 646186",#문학 #OST #아련한 #잔잔한 #힐링 #서정성 #장르 #감성 #시대극 #고전
441279857,441279857,POP마스터,서정성을 극대화한 로파이 코드,"5660619, 7960812, 30419409, 12139599, 30748991, 30421192, 7960811, 7897314, 30316669, 30501990, 5660620, 4054554, 8099657, 30984538, 30827782, 30781039, 1624635, 30781038, 30819544, 8099663, 32102211, 4769547, 30421189, 30359137, 31882888, 30414492, 9606433, 5615787, 32065875, 30068181",#since2000 #아련한 #송라이터 #인디팝 #에센셜 #밤새벽 #Pop #아날로그 #로파이 #감성
432600433,432600433,대중가요마스터,서정미 넘치는 1990년대 남녀 듀엣 발라드,"742451, 2184581, 50734, 85268, 86866, 76954, 742446, 38639, 38457, 33728, 842539, 111572, 91049, 57341, 61780, 83500, 59078, 38114, 1876473, 68999",#추억 #서정미 #사랑설렘 #잔잔한 #1990년대 #가요 #회상 #발라드 #듀엣 #혼성
432873177,432873177,월드뮤직마스터,"시대와 호흡해온 음유시인, 까에따노 벨로주","1572130, 4794510, 4511843, 4663604, 4794513, 1572137, 5999874, 5999848, 486998, 3838986, 4511836, 5999869, 3838977, 3820220, 5999855, 3792248, 1572128, 30139900, 5999832, 486997, 4511837, 3443545, 16077513, 5999868, 5999820, 4702050, 106844519, 525095, 3854803, 4511849, 30139913, 4404447",#국민가수 #World #브라질 #저항 #싱어송라이터 #etc #낭만적인 #라틴 #월드뮤직 #서정적인
495820050,495820050,obey,비와 적막함을 닮은 잔잔한 곡들,"33353764, 33510392, 31582942, 33312350, 33029771, 33219764, 33477100, 33557371, 33124651, 33408227, 32858734, 32535136, 32536488, 33342158, 33573288, 33421988, 33231291, 30406087, 33358571, 33535844, 33352337, 33421983, 33501991, 33225845, 33358716, 32324845, 33402818",#슬픈 #기분전환 #비 #잔잔한 #밤 #힐링 #장마철 #감성 #새벽 #비오는날
456889007,456889007,POP마스터,"비오는 날, 찾아 듣고 싶은 감성 뮤직","30261818, 30014237, 3448388, 1315094, 3946036, 30733777, 2117956, 31889301, 8222027, 31082731, 8080523, 31434444, 8111874, 33324345, 33359294, 31639961, 32996063, 32997757, 30705912, 31138747",#슬픈 #잔잔한 #몽환 #우산 #팝 #얼터너티브 #감성 #새벽 #비오는날 #휴식
457915015,457915015,HIPHOP마스터,센치한 비 오는 날을 함께할 힙합/알앤비,"32790874, 32265694, 31417874, 30773554, 8204712, 30063772, 32958322, 30492277, 33425476, 32581667, 32054960, 31121523, 31143991, 31056799, 31587508, 33632153, 31856629, 31584885, 1850253, 33645971",#힙합 #비 #우울 #센치 #알앤비 #국내힙합 #비오는날
489466883,489466883,음악이주는힘,"무드등 켜고 들어요, 아늑한 분위기의 JAZZ","23630088, 229112, 863331, 1482047, 4789622, 5096496, 20902768, 1949651, 1605577, 3919229, 7727206, 1949654, 359320, 1949656, 871471, 612900, 33059037, 102726971, 23665063, 32189681, 893061, 8278966, 6005115, 23665054, 359317, 8193035, 649774, 20907207, 1949662, 23665059",#침대 #사색 #재즈 #재즈바 #혼술 #무드등 #와인 #작업 #혼자만의시간 #비오는날
494970649,494970649,celette,노을빛 어스러지는 러브 스토리,"32543478,, 31751903,,, 31577927 33027461,,, 31993919,, 32870128, 32083450,, 32732856,,, 32287729,,, 31577927,, 32611648,, 32611648, 32732856 33071998, 31868783, 31993919 32077719, 32956304 32502550,,, 31868783,, 32359121 31978115, 32083450 31478956,,, 32471211,,, 31759423 32611785 32460061,,, 31759423,, 31993919,,, 32956304,, 32359121,, 31751903,, 32611648 32928611, 31978115,,, 33071998,,, 32928611 32287729,, 32732856,, 32460061,, 31868783 32290499 32077719 33009255 31801911,, 32697985,, 32752211,, 32752211, 32465632,, 30801603,, 32928611,,, 32870128,, 32714482,,, 32471211 32872695 32359121,,, 31751903 32055283, 32697985,,, 32287729 30233059,, 33067077,,, 32502550, 33067077 32282832, 32956304, 32287729, 32083450, 31478956 32872695,, 32752211 31577927, 32465632,,, 31993919, 32872695,,, 32460061, 33009255, 32282832,,, 31801911 32611648,,, 32359121, 31478956, 32543478,,, 32543478, 32290499, 32611785,,, 32290499,,, 32471211, 33009255,, 32055283 31577927,,, 32465632, 32055283,,, 31751903, 30801603 32752211,,, 31801911,,, 32714482,, 32471211,, 32697985 33071998 31478956,, 31801911, 32697985, 30233059, 32870128,,, 33027461, 32714482 31978115,, 32956304,,, 32502550 30801603, 32290499,, 32460061 32714482, 32732856, 31868783,,, 32928611,, 31759423,,, 31759423, 32611785,, 33027461,, 32055283,, 32502550,, 33027461 32870128 32282832,, 32077719,,, 32465632 32282832 33067077, 31978115 32083450,,, 32872695, 33071998,, 32543478 32077719,, 30801603,,, 30233059 32611785,",#하이틴 #Pop #맑음 #화상 #설레는 #신나는 #시원한 #여름 #기분전환 #바다
477147502,477147502,은비의일기,"여름밤, 하이틴 감성의 청량한 노래들","31759829, 18914590,,, 31759422 32374555,, 4609762 30747402,, 31759829,,, 31759422, 32083450,, 31882298, 31824500,, 18914590, 31139243,, 32141916, 30076985 31954438,, 31868783, 30097796,, 3957658, 31773595 32373363 33130680,, 32121002 31868783,, 31640878,, 31978115, 31237310,,, 30747402,,, 31478956,,, 32083450 30410175,, 31759422,,, 30410175, 32517163, 30410175,,, 31954438, 32225770 30915193 31279100,, 31975601 31759829,, 31306426 31306426,, 32853868,,, 31640878,,, 19379851, 31306426, 31978115,,, 30830040 32225770, 4609762,, 32517163 9618752 30410175 4174243,,, 4174243 30830040,, 4609762,,, 9618752,, 32121002,, 31129946 32373363, 31954438 32141916,,, 30076985,, 31139246 32121002,,, 32517163,, 30747402 31868783 30097796,,, 32225770,, 31306426,,, 31801911,, 31139243,,, 30097796 30801603,, 31129946, 4609762, 30915193,,, 31824500 30076985,,, 4174243,, 31139246,,, 31882298,,, 32853868 3957658,,, 31759829 32374555 31139246, 30233059,, 31139243, 32083450, 31139246,, 31975601,,, 30747402, 31478956 31139243 30915193, 32517163,,, 30830040, 31279100,,, 32374555, 31801911 31127406,,, 31882298 31478956, 31824500, 32574989,, 18914590 31237310, 31127406 31279100 31127406,, 30801603 31975601, 30097796, 33130680 31801911,,, 31759183 32121002, 32141916,, 30233059,,, 31478956,, 4174243, 31801911, 30233059, 31978115,, 30801603, 31759422,, 31640878 31773595,,, 31882298,, 31129946,, 32373363,, 30915193,, 32574989 31773595, 30076985, 32141916 31868783,,, 18914590,, 9618752,,, 32373363,,, 31759183, 31759183,, 31759183,,, 31954438,,, 9618752, 31773595,, 31237310 33130680,,, 31237310,, 31824500,,, 31279100, 3957658 19379851,,, 19379851 30830040,,, 32374555,,, 31127406, 31975601,, 31978115 32083450,,, 32853868,, 32853868, 33130680, 30801603,,, 31129946,,, 30233059 19379851,, 32574989, 31640878,",#하이틴 #밤 #여름밤 #Pop #청량함 #감성
493536616,493536616,공중정원.,빈티지한 하이틴 재질 Alternative pop,"33180043 31681338,,, 31767137, 33204154,, 18601078,, 32675120,, 32005171, 33449043 32936036, 32433205 33304480, 33045744 33403563 32433205,, 33405177, 33411670,, 106803389,, 33073048, 32675120,,, 31767137 18601078,,, 101339662 24769169 33449043, 33045744,, 33304480 24769169, 33129240 32936036,, 33403563,, 32559536 31820433,,, 33449043,,, 33074981, 32972091 33392748 32675120 33392748,, 33204154,,, 30047325,, 33204154 33405177,, 32972091,,, 32966909, 33328545, 33045744, 33180043,,, 32433205,,, 31820433 33463317 3714223,, 33204154, 24769169,,, 31714927 31681338,, 32972091,, 33129240, 32005171,, 32627575,, 32559536,,, 32936036 33363357, 106803389 32708217, 3714223,,, 33421152,,, 18601078, 30047325 33363357,,, 33073048,, 33361502,, 33361502, 32559536,, 33411670,,, 31249982,, 32005171 32972091, 31249982 32946165,,, 31767137,, 33463317,, 31767137,,, 33449043,, 32005171,,, 33392748, 32966909 101339662, 101339662,, 32627575,,, 33411670, 32708217 33421152, 30047325,,, 106803389, 31249982,,, 31681338 33328545,, 33074981,, 33463317, 33434549,, 30047325, 32946165,, 31249982, 33405177,,, 32708217,, 32574836 33361502 32853566, 32627575 33243732 31681338, 33304480,, 32708217,,, 33363357 33403563, 33361502,,, 33178430 33363357,, 32966909,, 32946165, 24769169,, 31714927, 32966909,,, 33434549,,, 33403563,,, 33178430,, 32936036,,, 33180043,, 32559536, 3714223 33421152 31714927,,, 33421152,, 33411670 32574836,,, 32853566,,, 33434549, 33243732,,, 32675120, 33180043, 32433205, 31820433,, 33328545,,, 33178430,,, 32574836, 33073048,,, 33178430, 33045744,,, 33243732,, 32853566 33304480,,, 18601078 32574836,, 32627575, 33129240,, 31820433, 33243732, 33434549 32853566,, 33405177 31714927,, 33392748,,, 33074981 32946165 106803389,,, 33074981,,, 3714223, 33073048 33328545",#하이틴 #얼터너티브 #락 #빈티지 #기분좋은 #기분전환 #청춘 #산뜻한
493836812,493836812,베뤼베뤼후뤠쉬베뤼는정말마시쪙,외국 하이틴 드라마에 나올듯한 팝송,"33039695, 33405409, 33039695,, 33014531, 32932397,,, 33039695 30294225,,, 32467818, 7887230,,, 33449448,, 32946516 31664948 32357971, 33449448 31664948, 32077999, 31341509,, 8279038,,, 8279038 32932397, 33405409 31664948,,, 33416084 33415753,,, 31127407,,, 31637862,, 8279038, 33039695,,, 31462612,, 31292416, 32946516, 7887230 31292416,, 32865693 31637862, 7887230,, 33481746, 33415753 32467818,,, 31462612, 32077999,,, 31069208,,, 31637862 33457040 8279038,, 31623567, 33481746,,, 31462612,,, 30294225, 31127407 33416084,,, 33309890, 31292416 31623567 33309890 7887230, 33457040,, 32357971 32865693,,, 31069208, 32018074, 33457040,,, 31341509 31341509, 31127407,, 33309890,, 32018074,,, 32946516,,, 30294225,, 31127407, 32357971,, 33014531 32018074 33449448,,, 33415753,, 31623567,, 31292416,,, 31341509,,, 31664948,, 33449448, 31462612 32467818 32077999,, 32865693, 33457040, 32932397,, 33416084, 33481746,, 32946516,, 33415753, 33309890,,, 31637862,,, 33405409,, 33405409,,, 32357971,,, 31069208 32865693,, 32018074,, 32077999 30294225 33014531,, 33481746 33416084,, 32932397 31069208,,",#하이틴 #10대 #설렘 #외출 #풋풋한 #드라이브 #기분전환 #팝
495200485,495200485,celette,편집샵에서 흘러나오는 세련된 케이팝,"31254922, 31641746, 32302933, 31492327, 31399722, 32941077, 31055328, 32559498, 33253494, 32636659, 32112916, 32941215, 32543384, 31934966, 32620701, 30736442, 32528371, 8176248, 32543479, 31297366, 31917679, 33159390, 32620704, 31448493, 31943382, 7847870, 31297367, 31833595, 33020304, 33437613, 32748914, 30736438, 32941078, 30919067, 31423965, 31189089, 31754582, 32147119, 32364511, 31754581, 30019697, 33408562, 32112913, 31943385, 32931709, 32387968, 32593123, 31955740, 32217925, 31817362",#트렌디 #플레이스트 #감각적 #케이팝 #편집샵 #세련된 #내가좋아하는노래 #비트
449661474,449661474,Hido.T,귓가에 속삭여 주는 듯이 기분 좋은 음악,"33227630, 33551128, 32220907, 33325148, 33373047, 33516388, 33427411, 33594746, 33440247, 32404626, 33642566, 33644708, 33010630, 33257156, 32298251, 32315539, 33592010, 33482841, 33539114, 33394150, 32955963, 33138397, 33381548, 32254213, 33624513, 33542963, 33591549, 31850466, 33484820, 31917387, 33333903, 32696420, 32818943, 32220909, 32091223, 33372144, 33496491, 31094643, 30404951, 33628732, 32482640, 33529652, 33339344, 33643851, 32315542, 33423513, 33593581, 32254215, 33351888, 33162976, 31321349, 33496617, 33361477",#모닝콜 #매장음악 #카페 #노동요 #잔잔한 #잔잔한어쿠스틱 #오후 #퇴근길 #아침 #휴식
446042950,446042950,AliceK,"유니크한 당신을 위해, 감각적인 힙스터 팝!","33365516, 33631732, 33385486, 31356647, 33383478, 33377560, 33578947, 33455671, 32532183, 33142616, 33634935, 33601085, 33352738, 33160569, 32828600, 33228514, 33395371, 33374166, 33396078, 33303456, 32696551, 33395482, 32929398, 33385892, 33012144, 32584808, 33327026, 31210919, 32815477, 33477632, 32500142, 33501965, 32819720, 33282060, 33383283, 33405225, 33147314, 33347071, 33601435, 32667985, 32718868, 30888469, 33341449, 33415425, 32865560, 33638947, 33501505, 33428510, 33383295, 33462766, 33056953, 33011359, 33126545, 33044319, 33566877, 32145384, 33243079, 33322657, 33439014, 33196608, 33600080, 32078632, 33348235, 33338178",#기분전환 #매장음악 #팝 #취향저격 #편집샵 #일상 #유니크 #일렉 #감각적인 #분위기
490914098,490914098,HIPHOP마스터,"공허한 밤, 귓가에 맴도는 힙합","33254836, 33317526, 33231492, 33542747, 33260212, 33308508, 33250748, 33287963, 33071537, 33336928, 32715923, 33097757, 33333767, 32457836, 33276263, 33214884, 33232354, 33280271, 32807954, 33077998",#힙합 #밤 #센치 #해외힙합 #쓸쓸 #2020년대 #감성 #새벽 #외힙
