,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,611100,41443,이소라 Best,이소라,983,처음 느낌 그대로,발라드,"25,260",#노래가사 #감성 #발라드 #명품
0,111572,10126,그대안의 블루 OST,"이소라 , 김현철",983 1424,그대안의 블루,국내영화,"12,848",#가을 #발라드 #명품
0,51052,7048,그대 떠나가도,조장혁,5973,Change,발라드,"7,438",#명곡 #발라드
0,69302,7048,그대 떠나가도,조장혁,5973,그대 떠나가도,발라드,"6,351",#90년대 #가을 #가요 #발라드
0,175431,8700,연가(戀歌),김민우,699,사랑일뿐야,발라드,1,
0,175543,8700,연가(戀歌),스카이,100030,영원,발라드,1,
0,175571,8700,연가(戀歌),제이,1203,어제처럼,발라드,5,
0,4828185,2276102,괜찮아 사랑이야 OST Vol.1,첸 (CHEN),715176,최고의 행운,"발라드, 국내드라마","18,404",#OST #결혼 #봄
0,4828186,2276102,괜찮아 사랑이야 OST Vol.1,다비치,236815,괜찮아 사랑이야,"발라드, 국내드라마","11,384",#사랑 #설렘 #밤 #새벽
0,4828187,2276102,괜찮아 사랑이야 OST Vol.1,Crush,674710,잠 못드는 밤 (Feat. 펀치),"발라드, 국내드라마","19,032",#사랑 #잔잔 #노래추천 #설렘
0,4828188,2276102,괜찮아 사랑이야 OST Vol.1,휘성 (Realslow),10577,For You,"발라드, 국내드라마","1,718",#OST #디어마이프렌즈
0,4828190,2276102,괜찮아 사랑이야 OST Vol.1,울랄라세션,569214,Love Fiction,"발라드, 국내드라마","44,943",#사랑 #노희경 #봄 #괜찮아사랑이야
0,30840261,10129269,Together Again,"Alfie Boe , Michael Ball",242887 32273,"Hero (From ""Boyhood"")","클래식, 오페라/성악",3,
0,528547,15914,"버스, 정류장 OST",루시드폴,2800,Sur Le Quai (CF - 아이파크몰),국내영화,"2,455",#까페 #잔잔한 #겨울 #휴식
0,1576582,345486,The Light Of Songs,루시드폴,2800,보이나요?,포크/블루스,"1,141",#비긴어게인 #인디 #비긴어게인3
0,516679,34126,초콜릿 우체국 ...For You,루시드폴,2800,너는 내 마음 속에 남아,-,75,#잔잔한 #가을 #밤 #새벽
0,10687,1519,Lucid Fall,루시드폴,2800,나의 하류를 지나,"인디음악, 포크/블루스",766,#6 #명반 #추천곡들
0,1763641,360869,국경의 밤,루시드폴,2800,"바람, 어디에서 부는지",포크/블루스,"11,367",#새벽감성 #하트시그널 #하트시그널BGM #산책
0,3836568,2130889,실내악 외출,"김재훈 , 가을방학",678651 437760,가끔 미치도록 네가 안고 싶어질 때가 있어,"인디음악, 포크/블루스","11,795",#휴식 #하 #힐링
0,531748,35095,순간을 믿어요,언니네 이발관,101111,순간을 믿어요,록/메탈,"5,543",#사랑 #잔잔 #노래추천 #설렘
0,3822,104,In Love,제이,1203,831 8,R&B/Soul,"7,220",#2000년대 #추억 #명곡 #발라드
0,667278,47236,봄날 OST,아이,35155,봄날,"발라드, 국내드라마","18,761",#싸이월드 #추억 #2000년 #노래방
