index,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
6677,20210706,6677,2005,Reminiscence (Piano Solo Selection),Yuhki Kuramoto,3162,Lake Louise,뉴에이지,"9,281",#뉴에이지 #집중 #공부 #힐링
6694,20210706,6694,2006,Lake Misty Blue,Yuhki Kuramoto,3162,Lake Louis Ⅱ,뉴에이지,"3,361",#공부할_때_듣는_음악 #공부 #집중
9573,20210706,9573,781,소품집,플라워,100391,Endless,록/메탈,"43,159",#2000년 #싸이월드 #추억 #2000년대
14776,20210706,14776,829,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,2274,All I Want For Christmas Is You,R&B/Soul,"172,409",#캐럴 #감성 #팝송 #Pop
19807,20210706,19807,2393,Brown Eyes,브라운 아이즈,100742,벌써 일년,R&B/Soul,"64,140",#2000년 #싸이월드 #이별 #그리움
23560,20210706,23560,2681,미궁,황병기,423,미궁,국악,"1,732",#국악 #밤 #무서운노래 #국악탑백
38667,20210706,38667,3022,Kim:Kyungho 1997,김경호,895,금지된 사랑,록/메탈,"19,569",#가요 #90년대 #노래방 #발라드
62614,20210706,62614,4360,가을 우체국 앞에서,윤도현,923,가을 우체국 앞에서,록/메탈,"14,498",#추억 #비긴어스 #비긴어게인 #회상
73737,20210706,73737,5242,Invitation,에메랄드 캐슬,100167,발걸음,록/메탈,"45,050",#2000년 #싸이월드 #추억 #노래방
85674,20210706,85674,7874,Final Fantasy,스카이,100030,영원,록/메탈,"26,226",#2000년 #싸이월드 #추억 #2000년대
89539,20210706,89539,6898,허허바다,장사익,8553,댄서의 순정,국악,270,#국악 #도움 #국악음악 #국악탑백
104083,20210706,104083,8332,보내지 못한 편지,김광민,1379,지금은 우리가 멀리 있을지라도,뉴에이지,"8,347",#이별 #밤 #그리움 #잔잔한
107041,20210706,107041,8419,백야 3.98 OST,Carol Kidd,2019,When I Dream,재즈,"6,697",#팝 #추억 #재즈 #재즈탑백
144491,20210706,144491,185621,자연과 함께 듣는 행복 클래식 오르골,,,봄의 노래 (멘델스존),클래식,63,#추억 #클래식 #봄 #잔잔한
167008,20210706,167008,7990,슬기둥 노래집 - 산도깨비,슬기둥,101518,산도깨비,국악,578,#사극 #국악 #동양적인 #국악탑백
177641,20210706,177641,9839,김영동의 명상음악 선(禪) Ⅱ,김영동,101,귀소(歸巢),국악,122,#국악 #국악탑백 #락
177644,20210706,177644,9839,김영동의 명상음악 선(禪) Ⅱ,김영동,101,산행(山行),국악,327,#국악 #국악탑백 #월드뮤직
179789,20210706,179789,8266,‘96 김영임의 한(恨),김영임,102,어디로 가야 하나,국악,180,#회상기분전환 #국악 #국악탑백
179791,20210706,179791,8266,‘96 김영임의 한(恨),김영임,102,홀로 아리랑,국악,603,#국악 #도움 #국악음악 #국악탑백
224303,20210706,224303,16997,Feels So Good,Chuck Mangione,2115,Feels So Good,재즈,"6,958",#오후 #새벽 #노동요 #잔잔한
227672,20210706,227672,17298,It Could Happen To You,Chet Baker,7267,Everything Happens To Me,재즈,"3,442",#재현 #때껄룩 #nct #감성
228431,20210706,228431,17372,Somewhere Over The Rainbow,Chet Baker,7267,Somewhere Over The Rainbow,재즈,"1,573",#보사노바 #오후 #재즈 #휴식
229112,20210706,229112,17422,My Funny Valentine,Chet Baker,7267,I Fall In Love Too Easily,재즈,"20,592",#재즈 #OST #감성 #팝송
239668,20210706,239668,18125,Chelsia Chan In One Summer Night,"Chelsia Chan , Kenny Bee",33427 4284,One Summer Night (Dian Ying << Qiu Xia >> Cha Qu),월드뮤직,"5,353",#사랑 #로맨틱 #설렘 #올드팝
239669,20210706,239669,18125,Chelsia Chan In One Summer Night,Chelsia Chan,4284,Graduation Tears (From ”Chelsia My Love”),월드뮤직,"1,716",#사랑 #설렘 #휴식 #힐링
254644,20210706,254644,19423,"Bigger, Better, Faster, More",4 Non Blondes,103508,What's Up?,록/메탈,"22,415",#팝 #추억 #OST
255192,20210706,255192,19469,Pablo Honey,Radiohead,100781,Creep,록/메탈,"50,302",#신비 #비오는날 #까페 #잔잔한
258401,20210706,258401,19749,Dookie,Green Day,100327,Basket Case,록/메탈,"20,648",#매장음악 #카페 #감성 #팝송
261643,20210706,261643,19989,Made In Heaven,Queen,103964,I Was Born To Love You,록/메탈,"44,921",#팝 #감성 #기분전환 #팝송
261691,20210706,261691,19993,(What's The Story) Morning Glory?,Oasis,104369,Wonderwall,록/메탈,"27,250",#팝 #90년대 #Pop
261692,20210706,261692,19993,(What's The Story) Morning Glory?,Oasis,104369,Don't Look Back In Anger,록/메탈,"59,404",#팝송 #매장음악 #카페 #음색
261700,20210706,261700,19993,(What's The Story) Morning Glory?,Oasis,104369,Champagne Supernova,록/메탈,"21,167",#zoodasa #주다사 #감성 #팝송
278172,20210706,278172,21376,Natty Dread,Bob Marley,2201,"No Woman, No Cry",월드뮤직,"2,990",#열정 #자메이카 #휴식 #힐링
284480,20210706,284480,21887,The Best Of Michael Franks : A Backward Glance,Michael Franks,13245,Antonio's Song,재즈,"3,530",#보사노바 #재즈
286094,20210706,286094,22012,The Marshall Mathers LP,Eminem,1986,Stan (Feat. Dido),랩/힙합,"14,776",#팝 #추억 #노래방
287341,20210706,287341,22100,Todo,Mocedades,104304,Eres Tu,월드뮤직,"2,046",#팝 #봄소풍 #LP #올드팝
288419,20210706,288419,22183,Come Away With Me,Norah Jones,28509,Don't Know Why,재즈,"52,225",#카페음악 #카페 #휴식 #힐링
288423,20210706,288423,22183,Come Away With Me,Norah Jones,28509,Come Away With Me,재즈,"7,410",#까페 #휴식 #잔잔한
288659,20210706,288659,22200,Best 1997-2001,Lisa Ono,2915,I Wish You Love,재즈,"14,945",#보사노바 #까페 #재즈 #잔잔한
289185,20210706,289185,22234,At First Light,Silje Nergaard,29165,Be Still My Heart,재즈,"6,647",#팝 #서정적 #카페 #여유
293365,20210706,293365,189710,Hozier,Hozier,768385,Take Me To Church,록/메탈,"22,043",#광고음악 #알앤비 #알앤비소울 #삽입곡
316434,20210706,316434,16672,새벽,부활,100594,Never Ending Story,록/메탈,"60,676",#2000년 #싸이월드 #추억 #2000년대
331322,20210706,331322,24021,2001,Dr. Dre,7717,Still D.R.E. (Feat. Snoop Dogg),랩/힙합,"25,495",#90년대 #외국힙합 #외힙 #Pop
331330,20210706,331330,24021,2001,Dr. Dre,7717,The Next Episode (Feat. Snoop Dogg),랩/힙합,"23,736",#추억 #힙합 #노래방 #랩
331963,20210706,331963,24051,클래식 오디세이 Gold,Kurt Masur,8061,"베토벤 : 교향곡 5번 ""운명"" 1악장",클래식,"3,682",#클래식 #명곡 #효리네민박 #이효리
331968,20210706,331968,24051,클래식 오디세이 Gold,London Philharmonic Orchestra,102797,"드보르작 : 교향곡 9번 ""신세계로부터"" 4악장",클래식,"3,936",#작업할때 #클래식 #휴식
331970,20210706,331970,24051,클래식 오디세이 Gold,Ton Koopman,29070,바흐 : G선상의 아리아,클래식,"3,076",#클래식 #집중 #명곡
331976,20210706,331976,24051,클래식 오디세이 Gold,Bolshoi Theater Symphony Orchestra,102807,"차이코프스키 : 호두까기 인형 중 ""꽃의 왈츠""",클래식,"1,951",#노동요 #일할때 #클래식
337201,20210706,337201,24362,A Rush Of Blood To The Head,Coldplay,100260,The Scientist,록/메탈,"62,015",#카페음악 #카페 #휴식 #힐링
341542,20210706,341542,24633,The Eminem Show,Eminem,1986,Without Me,랩/힙합,"26,847",#추억 #노래방 #발라드
354635,20210706,354635,25274,Let Go,Avril Lavigne,30023,Sk8er Boi,록/메탈,"33,696",#하이틴 #감성 #기분전환 #팝송
356530,20210706,356530,25394,Onka's Big Moka,Toploader,104812,Dancing In The Moonlight,록/메탈,"23,736",#zoodasa #주다사 #휴일 #집콕
375889,20210706,375889,26733,Almost Blue: Best Of Chet Baker,Chet Baker,7267,My Funny Valentine,재즈,"4,557",#재현 #랩몬스터 #nct #방탄소년단
377480,20210706,377480,26838,The End Of The World / Nice Girls Don't Stay For Breakfast,Julie London,28224,Fly Me To The Moon,재즈,"6,330",#추억 #보사노바 #재즈 #올드팝
380153,20210706,380153,27046,Unplugged,Eric Clapton,1992,Tears In Heaven,포크/블루스/컨트리,"2,731",#팝 #KIMJAEHWAN #김재환
384204,20210706,384204,27363,인어공주 OST,Jodi Benson,29233,"Part of Your World (From ""The Little Mermaid"" / Soundtrack Version)",어린이/태교,"17,902",#디즈니 #OST
386343,20210706,386343,27522,토이 스토리 OST,Randy Newman,30594,"You've Got a Friend in Me (From ""Toy Story""/Soundtrack Version)",포크/블루스/컨트리,"29,944",#디즈니 #OST #영화
396801,20210706,396801,28289,Romanza,Andrea Bocelli,2080,Time To Say Goodbye (Con Te Partiro) (Feat. Sarah Brightman) (tvN 수목드라마 슬기로운 감빵생활 삽입곡),클래식,"7,944",#팝
397864,20210706,397864,28363,Simple Pleasures,Bobby McFerrin,27204,"Don't Worry, Be Happy",재즈,"4,291",#추억 #샤워 #아침 #올드팝
405110,20210706,405110,28803,Premier Album,Elsa,27495,Un Roman D'amitie,월드뮤직,"2,243",#팝 #추억 #스위트 #감성
409191,20210706,409191,29081,Nellyville,Nelly,2066,Dilemma (Feat. Kelly Rowland),랩/힙합,"22,043",#추억 #노래방 #까페 #잔잔한
415711,20210706,415711,29477,Most Famous Hits Frank Sinatra,Frank Sinatra,17131,"New York, New York",재즈,"1,939",#재즈 #장르핫트랙 #재즈탑백 #재즈핫트랙
415748,20210706,415748,29477,Most Famous Hits Frank Sinatra,Frank Sinatra,17131,My Way,재즈,"4,420",#비긴어게인3 #비긴어게인 #재즈 #재즈탑백
418168,20210706,418168,28985,국화꽃 향기 OST,성시경,3305,희재,"발라드, 국내영화","87,570",#추억 #노래방 #회상
418598,20210706,418598,26396,Like Them,거미,30358,친구라도 될 걸 그랬어,R&B/Soul,"84,054",#2000년 #싸이월드 #이별 #그리움
420424,20210706,420424,29678,Espresso,델리스파이스,100099,고백,"인디음악, 록/메탈","111,190",#2000년 #싸이월드 #추억 #2000년대
420520,20210706,420520,27516,Like The Bible,빅마마,105803,거부,R&B/Soul,"5,410",#추억 #회상 #2000년대
420522,20210706,420522,27516,Like The Bible,빅마마,105803,Break Away,R&B/Soul,"13,391",#추억 #노래방 #발라드
420534,20210706,420534,27516,Like The Bible,빅마마,105803,체념,"발라드, R&B/Soul","67,282",#2000년 #싸이월드 #추억 #2000년대
442241,20210706,442241,329,애아불애 / 愛我不愛,진혜림,21010,Lover's Concerto,월드뮤직,"2,099",#속삭이는 #힐링 #휴식
446547,20210706,446547,30759,Concertino,Yuhki Kuramoto,3162,Meditation,뉴에이지,"8,286",#뉴에이지 #힐링 #새벽
452514,20210706,452514,31000,Michael Buble,Michael Buble,35370,Kissing A Fool,재즈,"7,336",#팝 #분위기 #재즈 #감성
453956,20210706,453956,31095,Chet Baker Sings,Chet Baker,7267,Time After Time,재즈,"7,267",#보사노바 #오후 #재즈 #휴식
477626,20210706,477626,32282,총애 / 寵愛,장국영,4420,A Thousand Dreams Of You,월드뮤직,"1,616",#추억 #OST #장국영
485716,20210706,485716,32695,Soul Free,브라운 아이드 소울,107728,정말 사랑했을까,"발라드, R&B/Soul","76,711",#2000년 #싸이월드 #추억 #노래방
486940,20210706,486940,32764,The Very Best Of George Benson - The Greatest Hits Of All,George Benson,8637,Nothing's Gonna Change My Love For You,재즈,"6,933",#팝 #기분전환 #팝송 #Pop
487627,20210706,487627,32804,Absolution,Muse,100545,Time Is Running Out,록/메탈,"31,860",#신비 #스트레스 #비오는날 #운동
489055,20210706,489055,32889,Morning Of Buzz,버즈,160091,Monologue,록/메탈,"50,975",#2000년 #싸이월드 #추억 #노래방
490467,20210706,490467,32969,From The Yellow Room,이루마,8048,Indigo,뉴에이지,"4,796",#뉴에이지 #집중 #공부 #힐링
493145,20210706,493145,33074,For Your Memories,Acoustic Cafe,104972,Long Long Ago,뉴에이지,"23,556",#이별 #그리움 #감성 #팝송
493148,20210706,493148,33074,For Your Memories,Acoustic Cafe,104972,Last Carnival,뉴에이지,"59,015",#이별 #그리움 #감성 #팝송
498079,20210706,498079,33315,The Essential Simon & Garfunkel (Re-Brand),Simon & Garfunkel,102837,Bridge Over Troubled Water,포크/블루스/컨트리,"4,494",#팝 #뉴스룸 #LP #엔딩곡
498665,20210706,498665,33336,Diary Of Alicia Keys,Alicia Keys,5917,If I Ain't Got You,R&B/Soul,"42,306",#신비 #비오는날 #휴식 #힐링
511655,20210706,511655,33886,Feels Like Home,Norah Jones,28509,Sunrise,재즈,"5,350",#보사노바 #까페 #재즈 #잔잔한
511656,20210706,511656,33886,Feels Like Home,Norah Jones,28509,What Am I To You?,재즈,"10,129",#팝 #여유 #서정적
511657,20210706,511657,33886,Feels Like Home,Norah Jones,28509,Those Sweet Words,재즈,"11,700",#서정적 #까페 #여유 #잔잔한
518260,20210706,518260,34213,Songs About Jane,Maroon 5,107721,She Will Be Loved,록/메탈,"26,822",#신비 #서정적 #비오는날 #여유
519620,20210706,519620,34289,Can U See The Bright,린,8530,...사랑했잖아...,R&B/Soul,"83,710",#2000년 #싸이월드 #이별 #그리움
522852,20210706,522852,34486,180 Degree,MC몽,11538,너에게 쓰는 편지 (Feat. 린),랩/힙합,"74,539",#2000년 #싸이월드 #추억 #노래방
523778,20210706,523778,34574,More,Tamia,29412,Officially Missing You,R&B/Soul,"27,112",#팝 #카페 #휴식 #힐링
530249,20210706,530249,34996,Riot On An Empty Street,Kings Of Convenience,108936,Homesick,포크/블루스/컨트리,"12,043",#하트시그널 #서정적 #하트시그널BGM #여유
530251,20210706,530251,34996,Riot On An Empty Street,Kings Of Convenience,108936,Cayman Islands (현대자동차 i40 '와이너리'편 TV광고 삽입곡),포크/블루스/컨트리,"34,477",#까페 #휴식 #힐링 #잔잔한
531840,20210706,531840,35102,Freestyle 3,프리스타일,100144,Y (Please Tell Me Why),랩/힙합,"45,063",#2000년 #싸이월드 #추억 #2000년대
534252,20210706,534252,35269,The Nuts,더 넛츠 (The NuTs),108988,사랑의 바보,록/메탈,"72,909",#2000년 #싸이월드 #추억 #2000년대
534649,20210706,534649,35289,비오는 거리 6 Classics(Best Classics Collection For Rainy Days),Wolfgang Amadeus Mozart,5850,모차르트:: 피아노 소나타 11번 K.331 터어키 행진곡,클래식,"1,950",#팝 #클래식
600426,20210706,600426,41282,A Songs Best Friend,John Denver,2137,"Take Me Home, Country Road",포크/블루스/컨트리,"4,832",#팝 #추억 #OST
604566,20210706,604566,41378,ARK,L'Arc-en-Ciel,108417,Driver's High (GTO OP),J-POP,"3,688",#애니메이션 #OST #애니
610471,20210706,610471,42031,Hey!,Julio Iglesias,28225,Hey!,월드뮤직,991,#팝 #가을_공통 #기분전환
612881,20210706,612881,43157,Time Out,Dave Brubeck,27380,Take Five,재즈,"3,975",#일할때 #분위기 #공부 #재즈
621287,20210706,621287,40052,15집 국악 (國樂),서울 새울 가야금 삼중주단,161271,가야금 삼중주를 위한 '파헬벨의 캐논',국악,586,#크로스오버 #국악 #국악탑백
622082,20210706,622082,42298,Love,Nakashima Mika,52974,雪の華 / Yukino Hana (박효신 '눈의 꽃' 원곡),J-POP,"13,276",#팝 #밤 #겨울
623902,20210706,623902,43841,미안하다 사랑한다 OST,박효신,1191,눈의 꽃,OST,"154,192",#2000년 #싸이월드 #추억 #2000년대
665226,20210706,665226,47037,Back To The Soul Flight,나얼,3959,귀로,R&B/Soul,"81,061",#추억 #이별 #2000년대 #그리움
685096,20210706,685096,48613,The Best Of Bill Withers : Lean On Me,Bill Withers,8600,Just The Two Of Us,R&B/Soul,"16,936",#사랑 #zoodasa #설렘 #주다사
686001,20210706,686001,48676,Stand By Your Man,Tammy Wynette,16028,Stand By Your Man (JTBC 드라마 '밥 잘 사주는 예쁜 누나' 삽입곡),포크/블루스/컨트리,"4,511",#팝 #추억 #드라이브 #커플
686635,20210706,686635,48734,La Musique de Paris Derniere 2,Max Raabe,163496,Sex Bomb (팬택앤큐리텔 CF '회전목마' 보아편),월드뮤직,"1,288",#추억 #결정판 #Jazz #회상
686651,20210706,686651,48736,쾌걸춘향 OST,izi,164914,응급실,OST,"90,727",#2000년 #싸이월드 #이별 #그리움
695059,20210706,695059,49314,예배인도자 컨퍼런스 2004,어노인팅,107632,전능하신 나의 주 하나님은 (인도 : 이민욱),CCM,"4,834",#찬양 #CCM #CCM탑백
711626,20210706,711626,50578,살다가,SG 워너비,108363,살다가,발라드,"68,249",#2000년 #싸이월드 #추억 #2000년대
711627,20210706,711627,50578,살다가,SG 워너비,108363,죄와벌,발라드,"46,573",#2000년 #싸이월드 #추억 #노래방
724738,20210706,724738,60191,Flor de amor,Omara Portuondo,2304,Si llego a besarte,월드뮤직,"1,787",#운전할때 #재즈 #Jazz
729875,20210706,729875,300413,두번째 달 1집,두번째달,109157,얼음연못,뉴에이지,"39,981",#뉴에이지 #신비 #비오는날 #새벽
730738,20210706,730738,300469,Piano Forte,George Mann,59615,드뷔시 - 달빛,클래식,"11,942",#뉴에이지 #새벽 #밤 #잔잔한
732499,20210706,732499,300641,It's Time,Michael Buble,35370,Feeling Good,재즈,"12,961",#때껄룩 #zoodasa #주다사 #감성
732502,20210706,732502,300641,It's Time,Michael Buble,35370,"Quando, Quando, Quando",재즈,"28,262",#보사노바 #재즈 #분위기
732503,20210706,732503,300641,It's Time,Michael Buble,35370,Home,재즈,"54,316",#카페음악 #zoodasa #카페 #주다사
732512,20210706,732512,300646,Buzz Effect,버즈,160091,겁쟁이,록/메탈,"63,180",#2000년 #싸이월드 #추억 #2000년대
732516,20210706,732516,300646,Buzz Effect,버즈,160091,나에게로 떠나는 여행,록/메탈,"56,000",#2000년 #싸이월드 #추억 #노래방
732519,20210706,732519,300646,Buzz Effect,버즈,160091,가시,록/메탈,"99,349",#2000년 #싸이월드 #추억 #2000년대
825283,20210706,825283,65685,Where Is The Love? (Single),Black Eyed Peas,107538,Where Is The Love?,랩/힙합,"19,846",#팝 #힐링 #휴식
825799,20210706,825799,65738,At Her Very Best,Nana Mouskouri,2203,Over And Over (Roule S'Enroule),월드뮤직,"1,104",#유럽 #추억을 #올드 #샹송
837567,20210706,837567,301886,Difference,윤도현,923,사랑했나봐,록/메탈,"85,911",#2000년 #싸이월드 #이별 #그리움
837773,20210706,837773,301916,Time To Fly,김길중,60974,사랑했지만,록/메탈,"37,954",#새벽 #발라드
838112,20210706,838112,301976,BoA Best Of Soul,보아 (BoA),2165,La La La Love Song (BoA w／z SOUL'd OUT) (Bonus Track),J-POP,"4,756",#사랑 #썸 #드라이브 #행복
838825,20210706,838825,302044,Love Punch,Otsuka Ai,161289,さくらんぼ / Sakuranbo (앵두) (Original),J-POP,"17,603",#틱톡 #감성 #팝송 #상쾌한
841004,20210706,841004,302352,염불시리즈 1 (예불 - 천수경),범철스님,168855,천수경,종교음악,404,#민요 #찬불가 #국악
841007,20210706,841007,302352,염불시리즈 1 (예불 - 천수경),범철스님,168855,화엄경약찬게,종교음악,57,#찬불가
841010,20210706,841010,302352,염불시리즈 1 (예불 - 천수경),범철스님,168855,우리말반야심경,종교음악,87,
842115,20210706,842115,302507,X&Y,Coldplay,100260,Fix You,록/메탈,"85,301",#매장음악 #카페 #휴식 #힐링
844268,20210706,844268,302749,짠짜라,장윤정,22836,꽃,트로트,"11,531",#성인가요 #미스터트롯 #트로트
844269,20210706,844269,302749,짠짜라,장윤정,22836,사랑아,트로트,"13,947",#성인가요 #미스터트롯 #트로트
845586,20210706,845586,302961,His Story,MC몽,11538,I Love U Oh Thank U (Feat. 김태우 Of God),랩/힙합,"35,852",#2000년 #싸이월드 #추억 #노래방
871471,20210706,871471,67438,If Dreams Come True,Eddie Higgins Trio,230358,Shinjuku Twilight,재즈,"12,499",#보사노바 #재즈 #분위기
884532,20210706,884532,305064,The Best Of Don McLean,Don McLean,3011,Vincent,포크/블루스/컨트리,"14,928",#하트시그널 #로맨틱 #하트시그널BGM #올드팝
896242,20210706,896242,306248,We 3 (투니버스 만화영화 주제가 Best),버즈,160091,활주 ('나루토' 여는 노래),어린이/태교,"13,896",#2000년 #싸이월드 #숨듣명 #노동요
896246,20210706,896246,306248,We 3 (투니버스 만화영화 주제가 Best),이용신,23275,나의 마음을 담아 ('달빛천사' 여는노래),어린이/태교,"20,646",#2000년 #싸이월드 #OST #애니
903618,20210706,903618,307099,그 나라가 임하도록,갓등 중창단,101541,하느님 당신은 나의 모든 것,종교음악,464,#종교음악 #휴식 #가톨릭음악 #기분전환
903651,20210706,903651,307101,김선호(루가) 신부의 창작 생활 성가집 - 하느님 이들이,갓등 중창단,101541,하늘의 태양은 못 되더라도,종교음악,437,#가톨릭음악 #CCM #종교음악
925993,20210706,925993,307544,어노인팅 5집,어노인팅,107632,온 맘 다해 (With All My Heart),CCM,"5,034",#국내ccm #에센셜 #CCM탑백 #CCM
932131,20210706,932131,308223,Daniel Powter,Daniel Powter,166343,Bad Day,록/메탈,"29,903",#팝 #힐링 #휴식
978754,20210706,978754,308679,오리엔탈 무드 오브 가야금,숙명 가야금 연주단,100278,첨밀밀,국악,233,#흥겨운 #국악 #퓨전국악 #국악탑백
1008495,20210706,1008495,310414,사랑은 가슴이 시킨다,버즈,160091,사랑은 가슴이 시킨다,록/메탈,"26,654",#2000년 #싸이월드 #인기가요 #2000년대
1030601,20210706,1030601,311136,Curtain Call: The Hits (Deluxe Edition),Eminem,1986,"Lose Yourself (From ""8 Mile"" Soundtrack)",랩/힙합,"19,728",#추억 #힙합 #노래방 #랩
1030855,20210706,1030855,311164,I LOVE CCM (아이러브씨씨엠) 1집,소향,11752,오직 주만이,CCM,"4,716",#ccm모음 #CCM탑백 #CCM #익숙한
1047561,20210706,1047561,311488,김광석 Best,김광석,2960,서른 즈음에,포크/블루스,"34,103",#기분전환 #발라드
1047566,20210706,1047566,311488,김광석 Best,김광석,2960,너무 아픈 사랑은 사랑이 아니었음을,포크/블루스,"44,220",#추억 #노래방 #발라드
1075133,20210706,1075133,311846,Let It Be,숙명 가야금 연주단,100278,Let It Be,국악,828,#뉴에이지 #국악 #국악탑백
1083892,20210706,1083892,312059,The Essential Kenny G,Kenny G,2139,Loving You,재즈,"4,066",#카페음악 #가을 #뉴에이지
1093692,20210706,1093692,312880,궁 OST,"하울 , 제이",1203 175136,Perhaps Love (사랑인가요),OST,"67,586",#2000년 #싸이월드 #인기가요 #2000년대
1108787,20210706,1108787,313844,Our Song 2 - Face To Face,마커스,207682,감사함으로,CCM,"5,169",#ccm모음 #CCM탑백 #CCM #익숙한
1110769,20210706,1110769,314006,Quelqu'un M'a Dit,Carla Bruni,181567,Quelqu'un m'a dit,월드뮤직,"3,824",#팝 #휴식 #잔잔한
1110771,20210706,1110771,314006,Quelqu'un M'a Dit,Carla Bruni,181567,Tout le monde,월드뮤직,992,#힐링 #락 #휴식
1110776,20210706,1110776,314006,Quelqu'un M'a Dit,Carla Bruni,181567,Le plus beau du quartier,월드뮤직,"10,145",#분위기 #카페 #봄
1110779,20210706,1110779,314006,Quelqu'un M'a Dit,Carla Bruni,181567,L'amour,월드뮤직,"1,953",#겨울 #차분 #휴식 #잔잔한
1116915,20210706,1116915,314511,아멜리에 (Amelie from Montmartre) OST,Frehel,451161,Si Tu N'Etais Pas La,월드뮤직,152,#로파이 #재즈 #프렌치팝 #영화음악
1121217,20210706,1121217,314804,Moida Band 1st,모이다밴드,161654,Chocolate Drive,재즈,"18,888",#노래추천 #잔잔 #발라드
1135461,20210706,1135461,315871,Debut,Toki Asako,59510,It's A Short Life (CF - 디오스 유기농 특선실 고현정편),재즈,"1,405",#팝 #카페 #Jazz #편안하게
1137108,20210706,1137108,315981,Special Story,야다 (Yada),101115,이미 슬픈 사랑,록/메탈,"48,106",#2000년 #싸이월드 #발라드
1139663,20210706,1139663,316202,내 발을 씻기신 예수,갓등 중창단,101541,내 발을 씻기신 예수,종교음악,260,#가톨릭음악 #CCM #종교음악
1139741,20210706,1139741,316209,The 3rd Masterpiece,SG 워너비,108363,내사람 : Partner For Life,R&B/Soul,"23,248",#2000년 #싸이월드 #추억 #2000년대
1177471,20210706,1177471,317113,Perfect,버즈,160091,My Love (And),록/메탈,"45,360",#2000년 #싸이월드 #이별 #그리움
1177472,20210706,1177472,317113,Perfect,버즈,160091,은인,록/메탈,"42,277",#2000년 #싸이월드 #추억 #회상
1177475,20210706,1177475,317113,Perfect,버즈,160091,남자를 몰라,록/메탈,"86,164",#2000년 #싸이월드 #발라드
1189032,20210706,1189032,317720,대한민국 불교 음악 기행,범철스님,168855,관세음보살정근,종교음악,208,#찬불가 #불교음악 #종교
1189034,20210706,1189034,317720,대한민국 불교 음악 기행,범철스님,168855,천수경,종교음악,477,#찬불가 #불교음악 #종교
1189035,20210706,1189035,317720,대한민국 불교 음악 기행,성수스님 (성주암),169878,반야심경,종교음악,907,#사랑 #겨울 #스트레스 #휴식
1189419,20210706,1189419,317745,So Sick,Ne-Yo,181769,So Sick,R&B/Soul,"37,322",#팝 #추억 #묘니3
1190919,20210706,1190919,317871,가야금 연주자 이슬기 Vol.2 (In The Green Cafe),이슬기,22236,Happiness,국악,669,#흥겨운 #이별 #퓨전국악 #슬픔
1199196,20210706,1199196,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,100278,Hey Jude,국악,352,#뉴에이지 #국악 #국악탑백
1199198,20210706,1199198,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,100278,Let It Be,국악,521,#뉴에이지 #국악 #국악탑백
1199207,20210706,1199207,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,100278,비발디 사계 중 '겨울 2악장',국악,318,#클래식 #국악 #왈츠 #크로스오버
1199208,20210706,1199208,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,100278,캐논변주곡 All For One,국악,"3,063",#흥겨운 #퓨전국악 #휴식 #잔잔한
1267316,20210706,1267316,320750,Liszt : Piano Sonata In B Minor (Horowitz),Vladimir Horowitz,161875,쇼팽 - 에튀드 4번,클래식,"1,065",#일할때 #클래식 #playlist3 #노동요
1268352,20210706,1268352,320887,아름다운 드라이브 클래식,,,쇼팽 - 녹턴,클래식,"8,625",#클래식 #집중 #명곡
1271752,20210706,1271752,321306,The Unforgettable Nat King Cole,Nat King Cole,2022,L-O-V-E,재즈,"5,503",#팝 #크리스마스 #연말 #기분전환
1313885,20210706,1313885,322242,The Eternal Dance,"Earth, Wind & Fire",102758,September,R&B/Soul,"23,459",#팝 #추억 #랩몬스터 #방탄소년단
1316266,20210706,1316266,322596,Miracle Generation,천관웅,7809,밀알,CCM,"8,640",#국내ccm #에센셜 #CCM탑백 #CCM
1325050,20210706,1325050,322845,거북이 사요!!,거북이,101463,비행기,댄스,"77,617",#2000년 #싸이월드 #감성 #팝송
1366458,20210706,1366458,324357,Catching Tales,Jamie Cullum,56770,Mind Trick,재즈,"9,269",#가을 #Jazz #휴식 #힐링
1374406,20210706,1374406,325951,YG Family 10주년 기념 앨범 'YG 10TH',빅마마,105803,여자,R&B/Soul,"3,986",#감성 #명품 #발라드
1419256,20210706,1419256,326896,Continuum,John Mayer,33498,Gravity,록/메탈,"21,565",#하트시그널 #까페 #하트시그널BGM #잔잔한
1419260,20210706,1419260,326896,Continuum,John Mayer,33498,Slow Dancing In A Burning Room,록/메탈,"7,687",#팝 #여유 #서정적
1467722,20210706,1467722,328396,The Ballads,성시경,3305,거리에서,발라드,"108,207",#2000년 #싸이월드 #추억 #2000년대
1469342,20210706,1469342,328509,For The People,빅마마,105803,연,R&B/Soul,"51,158",#2000년 #싸이월드 #이별 #그리움
1479152,20210706,1479152,329663,Once Again,John Legend,168255,P.D.A. (We Just Don't Care),R&B/Soul,"73,322",#팝 #매장음악 #카페
