index,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
32698139,20210706,32698139,10447526,MAP OF THE SOUL : 7 ~THE JOURNEY~,방탄소년단,672375,Stay Gold,J-POP,"60,672",#BTS #방탄소년단
32698148,20210706,32698148,10447526,MAP OF THE SOUL : 7 ~THE JOURNEY~,방탄소년단,672375,Lights,J-POP,"19,502",#BTS #방탄소년단
32698149,20210706,32698149,10447526,MAP OF THE SOUL : 7 ~THE JOURNEY~,방탄소년단,672375,Your eyes tell,J-POP,"30,057",#BTS #방탄소년단
32698536,20210706,32698536,10447627,할무니,김호중,720018,할무니,트로트,"28,486",#트로트 #김호중 #김호중노래 #성인가요
32698765,20210706,32698765,10447670,I-LAND Part.1 Signal Song,아이유,261143,Into the I-LAND,댄스,"123,706",#회상 #좋아요10만 #스트레스 #운동
32718404,20210706,32718404,10451245,Loma Vista,Family Of The Year,642011,Hero,포크/블루스/컨트리,"2,990",#드라이브 #기분전환 #포크탑백 #포크
32719810,20210706,32719810,10451518,Desce Pro Play (PA PA PA),"Anitta , Mc Zaac , Tyga",775668 495258 2094767,Desce Pro Play (PA PA PA),월드뮤직,"3,112",#헬스 #운동 #스포츠 #다이어트
32720013,20210706,32720013,10451566,How You Like That,BLACKPINK,995169,How You Like That,댄스,"179,628",#회상 #좋아요10만 #스트레스 #운동
32725013,20210706,32725013,10452351,María,화사 (Hwa Sa),756531,마리아 (Maria),댄스,"159,782",#회상 #좋아요10만 #스트레스 #운동
32725022,20210706,32725022,10452354,보라빛 밤 (pporappippam),선미,22938,보라빛 밤 (pporappippam),댄스,"88,306",#걸그룹 #댄스 #아이돌 #기분전환
32725616,20210706,32725616,10452461,iManini,Beraldy Dean,2877512,iManini,월드뮤직,10,#기분전환 #외출
32734372,20210706,32734372,10453701,RANDOM BOX,지코 (ZICO),602056,Summer Hate (Feat. 비),랩/힙합,"107,499",#회상 #감성힙합 #취향저격 #좋아요10만
32738672,20210706,32738672,10454538,Error,ASH ISLAND,2112495,Error (Feat. Loopy),랩/힙합,"68,062",#힙합 #감성힙합 #취향저격 #국내힙합
32741236,20210706,32741236,10454975,사랑의 콜센타 PART13,김호중,720018,천년의 사랑,트로트,"15,233",#김호중 #김호중노래 #달달
32742825,20210706,32742825,10455217,Shoot For The Stars Aim For The Moon,Pop Smoke,2644533,What You Know Bout Love,랩/힙합,"9,957",#힙합 #예술적인 #태민 #힙합탑백
32761177,20210706,32761177,10457911,모든 생명들아 소리쳐,WELOVE,1813896,모든 생명들아 소리쳐,CCM,"3,686",#찬양 #CCM #CCM탑백
32767477,20210706,32767477,10459011,Legends Never Die,"Juice WRLD , Marshmello",1203772 2189869,Come & Go,랩/힙합,"11,712",#힙합 #그루브 #알앤비 #외국힙합
32768945,20210706,32768945,10459197,여름 안에서 by 싹쓰리,"싹쓰리 (유두래곤, 린다G, 비룡)",2879819,여름 안에서 by 싹쓰리 (Feat. 황광희),댄스,"97,948",#여름 #댄스 #스트레스 #운동
32769008,20210706,32769008,10459204,어노인팅 예배캠프 2020,어노인팅,107632,감사로 주님께 나가세,CCM,"2,035",#찬양 #CCM #CCM탑백
32769012,20210706,32769012,10459204,어노인팅 예배캠프 2020,어노인팅,107632,주께서 내 맘에 두신 기쁨은,CCM,"2,455",#찬양 #CCM #CCM탑백
32771743,20210706,32771743,10446066,DEMIDEVIL,Ashnikko,1625283,Daisy,랩/힙합,"6,594",#HipHop #감성 #외국힙합 #팝송
32776088,20210706,32776088,10460286,"たぶん (아마도, Tabun)",YOASOBI,2871809,"たぶん (아마도, Tabun)",J-POP,"5,602",#일본노래 #JPOP #애니
32777869,20210706,32777869,10460544,거짓말이라도 해서 널 보고싶어,백지영,1118,거짓말이라도 해서 널 보고싶어,발라드,"66,894",#이별 #감성 #발라드 #발라드탑백
32783897,20210706,32783897,10461806,Loved You First,Gabe Bondoc,1796252,Loved You First,포크/블루스/컨트리,558,#일상 #홈카페 #카페 #팝
32788258,20210706,32788258,10462462,Funny,"Jasmine Thompson , Zedd",644353 785228,Funny,일렉트로니카,"13,913",#여행 #헬스 #운동 #팝
32790516,20210706,32790516,10462799,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",2879819,다시 여기 바닷가,댄스,"232,973",#여름 #회상 #여름노래 #좋아요10만
32790874,20210706,32790874,10462855,Rainy day,PATEKO (파테코),2750866,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",랩/힙합,"63,560",#감성힙합 #취향저격 #감성 #팝송
32793011,20210706,32793011,10395741,The Prelude,Pink Sweat$,2735431,At My Worst,R&B/Soul,"76,330",#기분전환 #팝 #감성 #팝송
32794652,20210706,32794652,10463600,취기를 빌려 (취향저격 그녀 X 산들),산들,672392,취기를 빌려 (취향저격 그녀 X 산들),발라드,"194,750",#회상 #발라드 #좋아요10만 #발라드탑백
32804881,20210706,32804881,10465326,러브의 자장가 첫번째 앨범,러브,2881894,모차르트의 자장가,어린이/태교,506,#포레스텔라 #자장가
32804882,20210706,32804882,10465326,러브의 자장가 첫번째 앨범,러브,2881894,슈베르트의 자장가,어린이/태교,442,#포레스텔라 #자장가
32808616,20210706,32808616,10465994,홀로,이하이,646171,홀로,R&B/Soul,"136,508",#이별 #회상 #비오는날 #좋아요10만
32809262,20210706,32809262,10466135,El Dorado,24KGoldn,2621623,Mood (Feat. Iann Dior),랩/힙합,"49,329",#매장음악 #팝 #Pop #빌보드
32812198,20210706,32812198,10466623,Mad at Disney,salem ilese,2882221,Mad at Disney,POP,"75,221",#팝송 #음색 #감성
32814383,20210706,32814383,10467129,그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡)",2879819,그 여름을 틀어줘,댄스,"89,750",#여름노래 #여름 #댄스
32821421,20210706,32821421,10468698,Bad Alive (English Ver.),WayV,2620698,Bad Alive (English Ver.),월드뮤직,"4,334",#소장각 #우리끼리 #nct #cznnies
32821457,20210706,32821457,10468702,러브의 자장가 두번째 앨범,러브,2881894,브람스의 자장가,어린이/태교,458,#포레스텔라 #자장가
32822089,20210706,32822089,10468858,I'm a mess and I make music,"Jomie , Snøw , Fudasca",2732024 2859498 2883290,what a nice day to run away (Feat. Resident),랩/힙합,"26,773",#드라이브 #비오는날 #카페 #집콕
32825454,20210706,32825454,10469416,NUNA,제시 (Jessi),176393,눈누난나 (NUNU NANA),랩/힙합,"101,936",#힙합 #회상 #좋아요10만 #스트레스
32825518,20210706,32825518,10469430,Roses,Finn Askew,2883397,Roses,POP,"30,299",#잔잔 #음색 #팝송 #노래추천
32825810,20210706,32825810,10469491,Hawái,Maluma,1241407,Hawái,월드뮤직,852,#월드팝 #라틴팝 #POP_ #빌보드
32830138,20210706,32830138,10470416,마커스워십 ON Vol.6,마커스워십 (MARKERS WORSHIP),1221228,길을 만드시는 분 (Way Maker) (인도 : 소진영),CCM,"3,366",#CCM #CCM탑백 #ccm모음 #익숙한
32830141,20210706,32830141,10470417,쥬니버 클래식 자장가,쥬니어네이버,2881410,브람스 자장가,어린이/태교,"1,530",#포레스텔라 #클래식 #자장가 #잔잔한
32830280,20210706,32830280,10470448,두리쥬와 X LINDA X 신난다,이상순,3237,다시 여기 바닷가 (Acoustic Ver.),포크/블루스,"27,236",#느낌있는 #놀면뭐하니 #이효리 #인디
32831735,20210706,32831735,10470695,JTBC 비긴어게인 코리아 Episode.9,소향,11752,Misty (식물원 버스킹 Ver.),재즈,"3,339",#재즈탑백 #재즈 #감성
32832324,20210706,32832324,10470845,I Should Probably Go To Bed,Dan + Shay,732749,I Should Probably Go To Bed,포크/블루스/컨트리,"7,335",#매장음악 #드라이브 #발라드 #피아노
32833393,20210706,32833393,10470992,덤디덤디 (DUMDi DUMDi),(여자)아이들,2137482,덤디덤디 (DUMDi DUMDi),댄스,"100,497",#여름 #회상 #여름노래 #좋아요10만
32838525,20210706,32838525,10471870,STRAY SHEEP,Yonezu Kenshi,742577,Kanden,J-POP,"4,018",#애니메이션OST #JPOP #애니
