,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210715,33499927,10611190,Run Run Run,MaWayy,1909531,Run Run Run,,282,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,32582506,10427432,Safe Place,"Malou , Nightcall",2868284 2060161,Safe Place,,192,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33249066,10556691,Butterfly,Richie Krisak,2246128,Butterfly (Feat. Next to Neon),,94,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33548694,10621230,Feels Like Love,"MIYA MIYA , Syn Cole",2932559 749141,Feels Like Love,,100,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33486042,10608914,Head In The Clouds (feat. Nevve),Bear Grillz,747630,Head In The Clouds (feat. Nevve),,78,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33504076,10611952,Grand Design,NOME.,2927179,Grand Design,,45,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,32690004,10446214,Miss U More Than U Know,"Sofia Carson , R3hab",926400 354694,Miss U More Than U Know,,"1,076",#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33558324,10623538,So Good (feat. Iskander Moens),Lewis Arlo,2942997,So Good (feat. Iskander Moens),,28,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33506831,10612418,Heartbreak Anthem,"David Guetta , Galantis , Little Mix",182123 743961 602511,Heartbreak Anthem,,"1,120",#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,27000252,4698159,Just Don't Know It Yet,MOTi,720119,Just Don't Know It Yet (Feat. BullySongs),,177,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33481762,10567868,Say It Like You Feel It,Cash Cash,31330,Reforget (feat. Violet Days),,398,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33514585,10614201,Pick Me Up,"Sam Fischer , Sam Feldt",2755452 783931,Pick Me Up,,637,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33453839,10602392,Safety Light,Adelen,773406,Safety Light,,79,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33462766,10604185,Mirror (Acoustic Version),"Le Boeuf , Askling , Matthew Nash",1704147 2018000 1244056,Mirror,,31,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,31759191,10277827,Easy Loving (feat. Jaylien),Junior Black,749241,Easy Loving (feat. Jaylien),,220,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33535508,10618793,When You're Out (Feat. Mae Muller),Billen Ted,2916619,When You're Out (Feat. Mae Muller),,88,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,26997460,4697505,Got Me Good,Quest,1704704,Got Me Good,,66,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33588967,10630981,Remember,"Becky Hill , David Guetta",776721 182123,Remember,,585,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33541634,10619833,Best Is Yet To Come,Gryffin,944462,Best Is Yet To Come (Feat. Kyle Reynolds),,312,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,32098588,10339014,Fairytale (Feat. Amanda Collis) (NCS),Culture CodeC,2750049,Fairytale (Feat. Amanda Collis),,539,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33514395,10614129,SRY (Feat. Chris Collins),Lazy Weekends,2138446,SRY (Feat. Chris Collins),,348,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,31675434,10262577,Ceiling,FAANGS,2635506,Ceiling,,188,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33569070,10625167,No Time To Stress,"Iggi Kelly , Embody , Louis III",2750780 1246576 2627432,No Time To Stress,,85,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,32778879,10460753,Come For Me,Single Spark,1942436,Come For Me,,35,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33448010,10600948,Breathe,Syn Cole,749141,Breathe (Feat. kaspara),,56,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33548680,10621225,Feels Good,"Mokita , Luca Schreiner",967934 946051,Feels Good,,46,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33405304,10590862,Tommy,Ralph,2635490,Tommy,,60,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33273357,10561931,Beautiful,Jean Michel,2920323,Beautiful,,31,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33481757,10567868,Say It Like You Feel It,Cash Cash,31330,Talk About It (feat. Harloe),,101,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33504060,10611940,Another Night (Streaming Ver.),"Able Faces , Lulleaux",2918948 2939339,Another Night,,35,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33571283,10625785,For My Future Past,"Midsplit , Kat Saul",2165877 2749114,Sleep Cycle,,11,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33231079,10552445,Bad Tattoo,HYYTS,2754231,Bad Tattoo,,128,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33562045,10624180,Call On Me,RAYE,1023953,Call On Me,,386,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33539444,10619555,Stranger Love,Dante Klein,837305,Stranger Love (feat. KOOLKID),,25,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33518964,10615234,Hear Me Say,"LEON , Jonas Blue",924871 924428,Hear Me Say,,522,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
0,20210715,33517743,10614990,Afterglow,Ampm,1957134,Afterglow (feat. Kimberley Chen),,9,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침,UoYo,기분전환! 세련되고 트렌디한 사운드의 곡,495612993,#트렌디 #기분전환 #세련된 #감각적 #드라이브 #여행 #아침
