,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210714,30312053,10047423,그녀는 거짓말을 너무 사랑해 OST Part.1,조이 (JOY),780922,여우야,,"43,572",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,30531083,10080724,Take Five,윤하 (YOUNHA),203912,Take Five,,"5,763",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,32829947,10470350,Our Beloved BoA #1 - SM STATION,백현 (BAEKHYUN),672859,공중정원 (Garden In The Air),,"53,417",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,33152871,10537129,나의 외로움이 널 부를 때 (라이브온 X 후디 & 브론즈),"Hoody (후디) , Bronze (브론즈)",735515 778736,나의 외로움이 널 부를 때,,"4,079",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,30646584,10096855,꽃갈피 둘,아이유,261143,비밀의 화원,,"142,486",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,32859945,10476489,질투 (카니발 광고음악),Zion.T,537920,질투 (카니발 광고음악),,"7,517",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,30587671,10089060,환생 (Rebirth) - SM STATION,Red Velvet (레드벨벳),780066,환생 (Rebirth),,"34,325",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,33277070,10562676,가시 (도시남녀의 사랑법 OST Part.9),초아,686994,가시,,"3,200",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,31895019,10301977,노랫말,박재정,738480,사랑한 만큼,,"11,448",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
0,20210714,4646573,2256290,꽃갈피,아이유,261143,너의 의미 (Feat. 김창완),,"220,225",#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스,palette.,창가에 앉아 멍하니 듣는 리메이크 곡,495733653,#리메이크 #여름 #설렘 #상쾌 #맑은 #추억 #그때그시절 #산책 #인디 #버스
