,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210708,33579160,10628278,"Seoul Vibes, Nutty",KozyPop,"4AM (Song By Bessi, 미래) (Prod. RYUKIE)",,615,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33272315,10561727,no filter,오곤,no filter,,248,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33498478,10610916,오선지 #5,공기남,Welcome (feat. Daowl),,"2,175",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33476728,10606892,5.2 (Feat. 이수현),10CM,서울의 잠 못 이루는 밤 (Feat. 이수현),,"32,685",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33480294,10607724,초록 전쟁,위아더나잇 (We Are The Night),초록 전쟁,,683,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33049133,10515688,Fly Away,이민규,Fly Away,,39,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32743111,10455276,OCEAN,OoOo (오넷),OCEAN (Feat. 추서준),,"1,320",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32722583,10451854,좀 걸을까요?,윤한솔,좀 걸을까요?,,"1,135",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31482226,10231119,Romantic Edition,홀렌 (hollen),Romantic Edition,,224,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32158613,10349203,For Sure,Xydo (시도),For Sure (Feat. Cold Bay),,"3,152",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32475541,10406073,너와의 드라이브,스위밍풀,너와의 드라이브,,186,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31788868,10283620,헤엄,앤츠 (Ants),여름 밤 그대와 산책,,652,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31687945,10264992,마음이 닿기를,소각소각,고백 연습,,905,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32696461,10447255,우리의 바다에,이나래,우리의 바다에 (All the way to you),,643,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32922397,10489677,밤의 끝자락,BehindtheMoon,여름날의 너에게,,224,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33453441,10602309,"Modern, Mild",윤현상,Fallin',,"1,404",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33452568,10602049,연애혁명 OST (공주와 왕자),"그_냥 , 미온",연애혁명,,"1,231",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32810868,10466415,여름이 가기 전에,뎁트,여름이 가기 전에 (Feat. KURO),,"3,812",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33235083,10553293,"벌써, 보고싶어",1ho (원호),"벌써, 보고싶어 (Prod.공기남)",,"1,991",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32706637,10448955,Dive,조제 (Josee),Dive,,"1,239",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33045720,10514863,우린 자정을 넘어,윌콕스,우린 자정을 넘어,,"2,729",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33487315,10609227,사랑을 향해,후추스,사랑을 향해,,115,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32506662,10412045,사실은,라디오 파라다이스 (Radio Paradise),사실은,,599,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32977196,10500953,WE!,OVCOCO (오브코코),WE!,,555,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,32970117,10499502,가을을 그리다,서교동의 밤,OH-A (feat. 경빈),,530,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,31111222,10173150,Kenzasburg,AshRock (애쉬락),Cruising (Original Ver.),,"1,462",#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
0,20210708,33200337,10546646,kindle,gump,녹아,,317,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는,여름밤 특유의 공기가 주는 두근거림,인디키키,495866039,#인디 #여름밤 #사랑 #설렘 #밤 #감성 #신나는
