,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210713,33667254,10648405,Motley Crew,Post Malone,882778,Motley Crew,,"4,526",#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33658835,10646514,The Jackie,"Bas , J. Cole",44638 552102,The Jackie (Feat. Lil Tjay),,166,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33665234,10648042,Romeo (feat. Bas),Jungle,763076,Romeo (feat. Bas),,70,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33651537,10644502,ARE YOU WITH THAT?,Vince Staples,782754,ARE YOU WITH THAT?,,51,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33653806,10645099,Money on Me,Russ,505217,Money on Me,,37,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33666325,10648199,WHOLE LOTTA MONEY (Remix) (Feat. Nicki Minaj),"Nicki Minaj , BIA",475580 930277,WHOLE LOTTA MONEY (Remix),,86,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33640870,10642204,Vaccine,Logic,787949,Vaccine,,126,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33636328,10640736,Imagine,Common,2184,Imagine (Feat. PJ),,126,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33631713,10639716,Love Music,Lil Yachty,991631,Love Music,,31,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
0,20210713,33625728,10638185,Rockstar / Goodluck,"Kota the Friend , Abhi The Nomad",2693149 1628547,Rockstar,,36,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브,HIPHOP마스터,NEW 도입부부터 취향저격! TRENDY '해외 랩/힙합',457910933,#해외힙합 #트렌디 #랩 #힙합 #HipHop #신나는 #드라이브
