,날짜,번호,제목,가수,장르,앨범이름,좋아요,플레이리스트,노래_태그,멜론DJ,플레이리스트_번호
0,20210706,31254922,So Beautiful,업텐션 (UP10TION),,UP10TION 2018 SPECIAL PHOTO EDITION,"2,629",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31492327,24/7,EXO,,LOVE SHOT - The 5th Album Repackage,"23,350",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31943382,What You Wanted,CIX (씨아이엑스),,"CIX 1st EP ALBUM 'HELLO' Chapter 1. Hello, Stranger","9,915",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31297366,지켜줄게,GOT7 (갓세븐),,Present : YOU,"18,323",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32112913,New Rules,투모로우바이투게더,,꿈의 장: MAGIC,"34,307",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,",7847870",Cool World,Red Velvet (레드벨벳),,The Red - The 1st Album,"24,591",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32217925,Ya Ya Ya,EXO,,OBSESSION - The 6th Album,"50,720",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31833595,blOssOm,OnlyOneOf (온리원오브),,dot point jump,655,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31917679,Betcha,백현 (BAEKHYUN),,City Lights - The 1st Mini Album,"69,098",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31399722,오아시스 (Oasis),EXO,,DON'T MESS UP MY TEMPO - The 5th Album,"87,920",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,30919067,Baby Don't Stop,NCT U,,NCT 2018 EMPATHY,"43,957",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31189089,MOONWALKER,세븐틴,,SEVENTEEN 5TH MINI ALBUM 'YOU MAKE MY DAY',"41,609",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32941077,UNTOUCHABLE,EVERGLOW (에버글로우),,-77.82X-78.29,"1,099",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32543384,Children,BVNDIT (밴디트),,Children,"1,416",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31934966,Long Flight,태용 (TAEYONG),,Long Flight - SM STATION,"20,523",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31754582,HOT,TWICE (트와이스),,FANCY YOU,"9,482",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32593123,Cool,BVNDIT (밴디트),,Carnival,194,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32748914,Jelly,레드벨벳-아이린&슬기,,Monster - The 1st Mini Album,"12,459",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31943385,Imagine,CIX (씨아이엑스),,"CIX 1st EP ALBUM 'HELLO' Chapter 1. Hello, Stranger","7,898",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33253494,Cinema,CIX (씨아이엑스),,"CIX 4th EP Album ‘HELLO’ Chapter Ø. Hello, Strange Dream","8,992",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32941078,GxxD BOY,EVERGLOW (에버글로우),,-77.82X-78.29,633,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31641746,I Wanna Be (Feat. 소연 of (여자)아이들),키 (KEY),,I Wanna Be - The 1st Album Repackage,"20,670",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32620701,R U Ridin'?,백현 (BAEKHYUN),,Delight - The 2nd Mini Album,"58,286",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33159390,Cheese (치즈),라붐 (LABOUM),,Cheese (치즈),"1,055",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33020304,SHADUBIDU,JBJ95,,JASMIN,743,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32620704,Poppin',백현 (BAEKHYUN),,Delight - The 2nd Mini Album,"61,418",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,",8176248",What Do I Do,티파니 (TIFFANY),,I Just Wanna Dance - The 1st Mini Album,"6,599",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33437613,Not For Sale,ENHYPEN,,BORDER : CARNIVAL,"5,251",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31423965,Better,핫샷 (HOTSHOT),,Early Flowering,"1,522",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,30736438,봐 (Look),Red Velvet (레드벨벳),,Perfect Velvet - The 2nd Album,"29,253",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32543479,AURA,GOT7 (갓세븐),,DYE,"12,787",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32364511,Salty,더보이즈 (THE BOYZ),,THE BOYZ 1ST ALBUM [REVEAL],"23,686",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32302933,Bittersweet,드림노트 (DreamNote),,Dream Wish,709,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,30736442,Attaboy,Red Velvet (레드벨벳),,Perfect Velvet - The 2nd Album,"17,510",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31055328,알고 싶어,(여자)아이들,,I am,"12,565",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32636659,MAKE ME GO,TWICE (트와이스),,MORE & MORE,"8,058",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31448493,Honest,키 (KEY),,FACE - The 1st Album,"8,038",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33408562,water color,휘인 (Whee In),,Redd,"23,272",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32559498,Stay Tonight,청하,,Stay Tonight,"47,244",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32941215,Insanity,더보이즈 (THE BOYZ),,THE BOYZ 5th MINI ALBUM [CHASE],"17,532",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31817362,BREATHE,AB6IX (에이비식스),,B:COMPLETE,"61,125",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31297367,No One Else,GOT7 (갓세븐),,Present : YOU,"17,950",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32387968,새벽,드림캐쳐,,1st Album [Dystopia : The Tree of Language],"2,001",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32147119,New World,VICTON (빅톤),,nostalgia,"10,905",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32112916,Poppin' Star,투모로우바이투게더,,꿈의 장: MAGIC,"25,719",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32931709,Weather,프로미스나인,,My Little Society,"3,325",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32528371,Be Myself,Apink (에이핑크),,LOOK,"8,990",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31955740,CHERRY,ITZY (있지),,IT'z ICY,"9,074",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
