,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210711,33382845,10585599,Fake Friends,Joel Adams,2692258,Fake Friends,,152,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33348842,10577589,Boston,Alec Chambers,1867316,Boston,,351,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,32714482,10450421,2:00am in LA,Jake Miller,778075,Parties,,"4,514",#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33559431,10623741,Careful,"Emelie Hollow , Nicklas Sahl",1220529 2114107,Careful,,25,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33518190,10615048,2 become 1,remme,2763649,2 become 1,,18,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33399127,10589425,Roommates,Isac Elliot,743068,Roommates,,"1,249",#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33549120,10621391,She's In My Head,Gunnar Gehl,2856580,She's In My Head,,268,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33638430,10641513,Better In My Head,Jordy,2138120,Better In My Head,,10,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33550247,10621714,alright,slchld,2060250,alright,,43,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33503751,10611852,Alone on a Friday,Chris James,979158,Alone on a Friday,,43,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33410351,10591923,on my mind,Dempsey Hope,2881662,on my mind,,153,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33643790,10643112,Jenny,EBEN,2635404,Jenny,,173,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33411566,10592139,Peanut Butter,Porsh Bet$,2932168,Peanut Butter,,38,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33404824,10590712,Sharlene,Hong Kong Boyfriend,2931680,Sharlene,,45,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33017352,10509083,Better Broken,"Alex Porat , Fintan",2898530 2898529,Better Broken,,149,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33620400,10623978,in case you miss me,John K,2640909,in case you miss me,,572,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33213272,10498167,The Good Times and The Bad Ones,Why Don't We,1239261,Stay,,638,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
0,20210711,33225211,10551237,Peach,Finn Askew,2883397,Buttercup,,168,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop,timeoff,기분 좋은 산책을 위한 적당한 텐션의 팝,496150311,#느낌있는 #이어폰 #분위기 #기분전환 #드라이브 #퇴근길 #저녁 #산책 #감성 #Pop
