,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210709,32625377,10435796,Castle (NCS),"Harddope , Clarx",2062979 1063563,Castle,,183,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33608539,10634282,Believe,"Wildvibes , Martin Miller",1391266 2658174,Believe (feat. Loé),,34,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,32522629,10415477,Guiding Light,Richie Haley,2863695,Guiding Light (Feat. Nino Lucarelli),,22,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33442604,10599651,Make It Out Alive,"Jonathan Mendelsohn , Blasterjaxx",559349 743440,Make It Out Alive,,52,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33022652,10510263,The Importance of Dancing Like an Idiot (Part 1),Clmd,711156,Trouble,,64,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33362166,10580822,Ghost in the Machine,Trivecta,2115480,Ghost in the Machine,,20,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33332527,10573783,Distant Memory,"W&W , R3hab , Timmy Trumpet",569092 354694 698611,Distant Memory,,351,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33343377,10576275,Harlecore,"Danny L Harle , DJ Danny",906879 2924362,On A Mountain,,27,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33336539,10574797,I Need Ya,"Sabai , RYYZN , With Løve",2892492 2863408 2925573,I Need Ya,,18,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33316902,10570425,La La La (feat. Mirriam Eka) (Streaming Ver.),"어드밴스드 (Advanced) , 정현 (Jeonghyeon)",897481 2743735,La La La (feat. Mirriam Eka),,220,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33313331,10569727,Unbroken,"Dexter King , Danyka Nadeau",2923281 1295785,Unbroken,,6,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33267453,10560848,Hearts on Fire (Bassjackers Remix),"Illenium , LIGHTS , Dabin",861804 466881 1182730,Hearts on Fire (Bassjackers Remix),,136,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33278829,10563028,trilogy remixes,keshi,2402797,talk (KOTONOHOUSE Remix),,472,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33226228,10551457,Walk Through Walls (MaRlo Remix),Haliene,860886,Walk Through Walls (MaRlo Remix),,21,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,31553089,10241585,High Hopes (Don Diablo Remix),Panic! At The Disco,181389,High Hopes (Don Diablo Remix),,403,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,30318427,10048414,While I'm Young (TooManyLeftHands Remix),Bladtkramer,1017376,While I'm Young (TooManyLeftHands Remix),,22,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
0,20210709,33215540,10549473,Dim Mak Greatest Hits 2020: Remixes,"Party Pupils , MAX",2087407 773205,West Coast Tears (feat. Gary Go) (Kue Remix),,71,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량,신나고 가슴 벅찬 비트! 일렉트로니카,jeunesse_,495785720,#Electronia #EDMFloor #기분전환 #드라이브 #여름 #페스티벌 #Exciting #Summer #stress #청량
