,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그,멜론DJ,플레이리스트,플레이리스트_번호,플레이리스트_태그
0,20210710,33645879,10643590,Love(Prod.Rocoberry),"이성경 , 로꼬",743255 688432,러브(Prod.로코베리),,"16,629",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32650472,10440267,우리,펀치넬로 (punchnello),782842,우리 (Feat. 미노이),,"10,550",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32616834,10434250,YA!너두_돼버릴거야 (feat.휘인 of 마마무) (Prod.기리보이),딘딘,735541,돼버릴거야 (feat.휘인 of 마마무) (Prod.기리보이),,"13,330",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,33444738,10600107,365&7,pH-1,943511,365&7 (Feat. JAMIE),,"23,494",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32224280,10359162,Boyhood,창모 (CHANGMO),774900,REMEDY (Feat. 청하 (CHUNG HA)),,"38,807",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,31975521,10315655,해먹,크루셜스타 (Crucial Star),454001,해먹 (feat. BIBI),,"2,494",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,31186171,10184936,"Houston, we have a problem",키드킹 (Kidd King),913199,니가 아니면 안돼 (Feat. SOMA),,"1,422",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,31035061,10160487,건반 위의 하이에나 Part.4,"화사 (Hwa Sa) , 로꼬",756531 688432,주지마,,"192,231",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32212735,10356973,러브미 (love me) (feat. hoody),나플라 (nafla),756738,러브미 (love me) (feat. Hoody),,"25,978",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,30049271,10008163,EVERYTHING YOU WANTED,박재범,443420,"All I Wanna Do (K) (Feat. Hoody, Loco)",,"188,118",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32420168,10395823,인간중독,"릴러말즈 (Leellamarz) , TOIL",967229 2190430,인간중독 (Feat. 유라 (youra)) (Prod. TOIL),,"11,902",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,5604757,2306067,졸업,올티 (Olltii),669972,설레 (Feat. 백예린 Of 15&),,"28,040",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,9603279,2704358,"여름, 아이스크림",한해,602174,"여름, 아이스크림 (Feat. 정은지)",,"8,777",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,31015284,10157654,Telescope,레디 (Reddy),568051,Peach (Feat. 수란),,"6,885",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32307439,10373988,Nerdy Love (Feat. 백예린),pH-1,943511,Nerdy Love (Feat. 백예린),,"73,933",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,31215747,10189402,SoulMate,지코 (ZICO),602056,SoulMate (Feat. 아이유),,"148,574",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,4681146,2260223,"San E, 레이나 Project Single '한여름밤의 꿀'","레이나 (Raina) , San E",672337 402526,한여름밤의 꿀,,"162,271",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,32607375,10432576,homemade 1,Crush,674710,자나깨나 (Feat. 조이 of Red Velvet),,"44,022",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
0,20210710,3946867,2165024,re;code Episode I,"소유 (SOYOU) , 긱스 (Geeks)",490981 525805,"Officially Missing You, Too",,"121,167",#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣,HIPHOP마스터,달달하고 부드러운 남녀 아티스트 콜라보,457914976,#국내힙합 #콜라보 #트렌디 #힙합 #힙한 #부드러운 #감성 #피처링 #달달한 #듀엣
