,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,20210714,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),2939212,바라만 본다,장르종합,"107,603",#인기순위 #일간순위 #장르종합
0,20210714,33487342,10609232,Next Level,aespa,2899555,Next Level,장르종합,"164,513",#인기순위 #일간순위 #장르종합
0,20210714,33507137,10612483,Butter,방탄소년단,672375,Butter,장르종합,"223,962",#인기순위 #일간순위 #장르종합
0,20210714,33666269,10648182,Butter / Permission to Dance,방탄소년단,672375,Permission to Dance,장르종합,"116,563",#인기순위 #일간순위 #장르종합
0,20210714,33480898,10607796,신호등,이무진,2138620,신호등,장르종합,"110,520",#인기순위 #일간순위 #장르종합
0,20210714,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,장르종합,"67,936",#인기순위 #일간순위 #장르종합
0,20210714,33503722,10611845,HAPPEN,헤이즈 (Heize),751611,헤픈 우연,장르종합,"126,772",#인기순위 #일간순위 #장르종합
0,20210714,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),2939210,나를 아는 사람,장르종합,"61,217",#인기순위 #일간순위 #장르종합
0,20210714,33589260,10631055,Summer Queen,브레이브걸스,531700,치맛바람 (Chi Mat Ba Ram),장르종합,"81,353",#인기순위 #일간순위 #장르종합
0,20210714,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,장르종합,"128,224",#인기순위 #일간순위 #장르종합
0,20210714,33359317,10580103,Justice,Justin Bieber,420621,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"178,984",#인기순위 #일간순위 #장르종합
0,20210714,30287019,10043575,Rollin',브레이브걸스,531700,롤린 (Rollin'),장르종합,"282,283",#인기순위 #일간순위 #장르종합
0,20210714,33559180,10623687,Taste of Love,TWICE (트와이스),905701,Alcohol-Free,장르종합,"60,950",#인기순위 #일간순위 #장르종합
0,20210714,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,장르종합,"417,197",#인기순위 #일간순위 #장르종합
0,20210714,33372781,10554246,IU 5th Album 'LILAC',아이유,261143,라일락,장르종합,"204,942",#인기순위 #일간순위 #장르종합
0,20210714,33397561,10589127,STAYDOM,STAYC(스테이씨),2899290,ASAP,장르종합,"110,824",#인기순위 #일간순위 #장르종합
0,20210714,33527705,10614899,안녕 (Hello) - Special Album,조이 (JOY),780922,안녕 (Hello),장르종합,"87,958",#인기순위 #일간순위 #장르종합
0,20210714,33239419,10554246,IU 5th Album 'LILAC',아이유,261143,Celebrity,장르종합,"292,202",#인기순위 #일간순위 #장르종합
0,20210714,33589488,10631122,슬기로운 의사생활 시즌2 OST Part 1,이무진,2138620,비와 당신,장르종합,"54,831",#인기순위 #일간순위 #장르종합
0,20210714,32860397,10476623,We Ride,브레이브걸스,531700,운전만해 (We Ride),장르종합,"124,067",#인기순위 #일간순위 #장르종합
0,20210714,33510307,10613163,MSG워너비 TOP 8 경연곡,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",2939206,상상더하기,장르종합,"55,805",#인기순위 #일간순위 #장르종합
0,20210714,33618271,10636091,하루만 더,빅마마,105803,하루만 더,장르종합,"27,852",#인기순위 #일간순위 #장르종합
0,20210714,33359725,10580227,사이렌 Remix,호미들,2754623,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",장르종합,"95,339",#인기순위 #일간순위 #장르종합
0,20210714,8130796,2677681,Fresh Adventure,라붐 (LABOUM),783462,상상더하기,장르종합,"114,048",#인기순위 #일간순위 #장르종합
0,20210714,1944399,399659,Sg Wanna Be+,SG 워너비,108363,Timeless,장르종합,"96,283",#인기순위 #일간순위 #장르종합
0,20210714,33315511,10570193,멜로디,ASH ISLAND,2112495,멜로디,장르종합,"95,546",#인기순위 #일간순위 #장르종합
0,20210714,3414749,1286252,최고의 사랑 OST Part.4,아이유,261143,내 손을 잡아,장르종합,"159,998",#인기순위 #일간순위 #장르종합
0,20210714,33167063,10540298,밝게 빛나는 별이 되어 비춰줄게,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,장르종합,"85,061",#인기순위 #일간순위 #장르종합
0,20210714,32962258,10498123,Savage Love (Laxed - Siren Beat) [BTS Remix],"Jawsh 685 , Jason Derulo , 방탄소년단",2868396 432140 672375,Savage Love (Laxed - Siren Beat) (BTS Remix),장르종합,"179,237",#인기순위 #일간순위 #장르종합
0,20210714,33061995,10518234,밤하늘의 별을(2020),경서,994005,밤하늘의 별을(2020),장르종합,"156,928",#인기순위 #일간순위 #장르종합
0,20210714,31737197,10273641,MAP OF THE SOUL : PERSONA,방탄소년단,672375,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),장르종합,"425,602",#인기순위 #일간순위 #장르종합
0,20210714,33632153,10639807,비 오는 날 듣기 좋은 노래,에픽하이 (EPIK HIGH),108356,비 오는 날 듣기 좋은 노래 (Feat. Colde),장르종합,"35,011",#인기순위 #일간순위 #장르종합
0,20210714,32961718,10498032,THE ALBUM,BLACKPINK,995169,Lovesick Girls,장르종합,"194,310",#인기순위 #일간순위 #장르종합
0,20210714,33331004,10573486,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","정은지 , 양요섭",644871 510565,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",장르종합,"95,900",#인기순위 #일간순위 #장르종합
0,20210714,1854856,376502,My Friend,SG 워너비,108363,라라라,장르종합,"80,540",#인기순위 #일간순위 #장르종합
0,20210714,33447280,10600760,GUESS WHO,ITZY (있지),2622030,마.피.아. In the morning,장르종합,"56,276",#인기순위 #일간순위 #장르종합
0,20210714,32559782,10423289,NONSTOP,오마이걸 (OH MY GIRL),857994,Dolphin,장르종합,"186,683",#인기순위 #일간순위 #장르종합
0,20210714,33013877,10508266,잠이 오질 않네요,장범준,648551,잠이 오질 않네요,장르종합,"142,732",#인기순위 #일간순위 #장르종합
0,20210714,33248758,10556610,추억은 만남보다 이별에 남아,정동하,181188,추억은 만남보다 이별에 남아,장르종합,"49,867",#인기순위 #일간순위 #장르종합
0,20210714,32578498,10426648,에잇,아이유,261143,에잇(Prod.&Feat. SUGA of BTS),장르종합,"362,622",#인기순위 #일간순위 #장르종합
0,20210714,33668958,10648668,난 너를 사랑해,MSG워너비,2939206,난 너를 사랑해,장르종합,"11,970",#인기순위 #일간순위 #장르종합
0,20210714,32794652,10463600,취기를 빌려 (취향저격 그녀 X 산들),산들,672392,취기를 빌려 (취향저격 그녀 X 산들),장르종합,"195,387",#인기순위 #일간순위 #장르종합
0,20210714,32183386,10346650,Love poem,아이유,261143,Blueming,장르종합,"312,110",#인기순위 #일간순위 #장르종합
0,20210714,33077234,10521521,BE,방탄소년단,672375,Life Goes On,장르종합,"221,024",#인기순위 #일간순위 #장르종합
0,20210714,33655615,10645569,다시 사랑할 수 있을까,"백지영 , 이홍기 (FT아일랜드)",1118 42554,다시 사랑할 수 있을까,장르종합,"10,027",#인기순위 #일간순위 #장르종합
0,20210714,30244931,10037969,YOU NEVER WALK ALONE,방탄소년단,672375,봄날,장르종합,"543,913",#인기순위 #일간순위 #장르종합
0,20210714,33372783,10554246,IU 5th Album 'LILAC',아이유,261143,Coin,장르종합,"97,237",#인기순위 #일간순위 #장르종합
0,20210714,32061975,10331947,항해,AKMU (악동뮤지션),712452,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",장르종합,"353,857",#인기순위 #일간순위 #장르종합
0,20210714,32491274,10409054,슬기로운 의사생활 OST Part 3,조정석,253606,아로하,장르종합,"221,585",#인기순위 #일간순위 #장르종합
0,20210714,33372788,10554246,IU 5th Album 'LILAC',아이유,261143,어푸 (Ah puh),장르종합,"87,231",#인기순위 #일간순위 #장르종합
0,20210714,33359309,10580103,Justice,Justin Bieber,420621,Off My Face,장르종합,"56,717",#인기순위 #일간순위 #장르종합
0,20210714,33496587,10610525,다정히 내 이름을 부르면 (경서예지 x 전건호),"전건호 , 경서예지",2739011 2863470,다정히 내 이름을 부르면,장르종합,"26,742",#인기순위 #일간순위 #장르종합
0,20210714,33645879,10643590,Love(Prod.Rocoberry),"이성경 , 로꼬",743255 688432,러브(Prod.로코베리),장르종합,"19,608",#인기순위 #일간순위 #장르종합
0,20210714,33346446,10576966,R,로제 (ROSÉ),995171,On The Ground,장르종합,"132,290",#인기순위 #일간순위 #장르종합
0,20210714,33077590,10521601,쇼미더머니 9 Episode 1,"Khundi Panda , 먼치맨(MUNCHMAN) , 머쉬베놈 (MUSHVENOM) , 미란이 (Mirani)",1703507 2747971 2745413 2866523,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),장르종합,"186,913",#인기순위 #일간순위 #장르종합
0,20210714,32224272,10359162,Boyhood,창모 (CHANGMO),774900,METEOR,장르종합,"265,674",#인기순위 #일간순위 #장르종합
0,20210714,31029291,10137250,Speak Your Mind (Deluxe),Anne-Marie,870307,2002,장르종합,"364,096",#인기순위 #일간순위 #장르종합
0,20210714,33107649,10527955,그날에 나는 맘이 편했을까,이예준,718655,그날에 나는 맘이 편했을까,장르종합,"56,469",#인기순위 #일간순위 #장르종합
0,20210714,1500196,332658,The Precious History,SG 워너비,108363,내사람,장르종합,"66,609",#인기순위 #일간순위 #장르종합
0,20210714,31509376,10235362,12:45 (Stripped),Etham,1907334,12:45 (Stripped),장르종합,"142,474",#인기순위 #일간순위 #장르종합
0,20210714,32698101,10447520,OHAYO MY NIGHT,"디핵 (D-Hack) , PATEKO (파테코)",785501 2750866,OHAYO MY NIGHT,장르종합,"53,141",#인기순위 #일간순위 #장르종합
0,20210714,33011180,10507546,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,771375,나랑 같이 걸을래 (바른연애 길잡이 X 적재),장르종합,"106,563",#인기순위 #일간순위 #장르종합
0,20210714,32003395,10320500,멜로가 체질 OST Part 3,장범준,648551,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장르종합,"289,907",#인기순위 #일간순위 #장르종합
0,20210714,30962526,10149492,'키스 먼저 할까요?' OST Part.3,폴킴,752425,"모든 날, 모든 순간 (Every day, Every Moment)",장르종합,"371,296",#인기순위 #일간순위 #장르종합
0,20210714,33618864,10636269,슬기로운 의사생활 시즌2 OST Part 2,김대명,2086543,가을 우체국 앞에서,장르종합,"22,682",#인기순위 #일간순위 #장르종합
0,20210714,3894276,2148596,오래된 노래,스탠딩 에그,467880,오래된 노래,장르종합,"230,430",#인기순위 #일간순위 #장르종합
0,20210714,33601086,10632920,허리춤,오반 (OVAN),925515,허리춤,장르종합,"19,185",#인기순위 #일간순위 #장르종합
0,20210714,32438894,10399190,어떻게 지내,오반 (OVAN),925515,어떻게 지내 (Prod. By VAN.C),장르종합,"162,388",#인기순위 #일간순위 #장르종합
0,20210714,32224166,10359126,너의 번호를 누르고,#안녕,1024489,너의 번호를 누르고 (Prod. 영화처럼),장르종합,"81,350",#인기순위 #일간순위 #장르종합
0,20210714,32559781,10423289,NONSTOP,오마이걸 (OH MY GIRL),857994,살짝 설렜어 (Nonstop),장르종합,"180,361",#인기순위 #일간순위 #장르종합
0,20210714,32055419,10330593,JORDI (Deluxe),Maroon 5,107721,Memories,장르종합,"170,792",#인기순위 #일간순위 #장르종합
0,20210714,31853557,10294603,Red Moon : To You My Light,마크툽 (MAKTUB),566431,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),장르종합,"240,774",#인기순위 #일간순위 #장르종합
0,20210714,33510308,10613163,MSG워너비 TOP 8 경연곡,MSG워너비(정상동기),2939210,체념,장르종합,"21,554",#인기순위 #일간순위 #장르종합
0,20210714,33646995,10643721,한여름밤의 꿀 : 다시 여름 (TEN PROJECT Part.3),"San E , 레이나 (Raina)",402526 672337,한여름밤의 꿀 : 다시 여름,장르종합,"13,063",#인기순위 #일간순위 #장르종합
0,20210714,33643253,10642901,Way Back Home (2021),런치,2746396,Way Back Home (2021),장르종합,"12,289",#인기순위 #일간순위 #장르종합
0,20210714,33405149,10590812,그냥 안아달란 말야,다비치,236815,그냥 안아달란 말야,장르종합,"39,085",#인기순위 #일간순위 #장르종합
0,20210714,32525311,10416034,사실 나는,경서예지,2863470,사실 나는 (Feat.전건호),장르종합,"77,382",#인기순위 #일간순위 #장르종합
0,20210714,32156286,10348811,늦은 밤 너의 집 앞 골목길에서,노을,105623,늦은 밤 너의 집 앞 골목길에서,장르종합,"183,253",#인기순위 #일간순위 #장르종합
0,20210714,32508053,10412319,내일은 미스터트롯 우승자 특전곡,임영웅,994944,이제 나만 믿어요,장르종합,"132,012",#인기순위 #일간순위 #장르종합
0,20210714,33229299,10552055,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,468244,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),장르종합,"70,652",#인기순위 #일간순위 #장르종합
