,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,20210708,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),2939212,바라만 본다,장르종합,"94,858",#인기순위 #일간순위 #장르종합
0,20210708,33487342,10609232,Next Level,aespa,2899555,Next Level,장르종합,"158,641",#인기순위 #일간순위 #장르종합
0,20210708,33507137,10612483,Butter,방탄소년단,672375,Butter,장르종합,"219,887",#인기순위 #일간순위 #장르종합
0,20210708,33503722,10611845,HAPPEN,헤이즈 (Heize),751611,헤픈 우연,장르종합,"123,092",#인기순위 #일간순위 #장르종합
0,20210708,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),2939210,나를 아는 사람,장르종합,"58,218",#인기순위 #일간순위 #장르종합
0,20210708,33589260,10631055,Summer Queen,브레이브걸스,531700,치맛바람 (Chi Mat Ba Ram),장르종합,"78,538",#인기순위 #일간순위 #장르종합
0,20210708,33480898,10607796,신호등,이무진,2138620,신호등,장르종합,"95,416",#인기순위 #일간순위 #장르종합
0,20210708,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,장르종합,"126,283",#인기순위 #일간순위 #장르종합
0,20210708,33666269,10648182,Butter / Permission to Dance,방탄소년단,672375,Permission to Dance,장르종합,"82,648",#인기순위 #일간순위 #장르종합
0,20210708,33359317,10580103,Justice,Justin Bieber,420621,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"176,973",#인기순위 #일간순위 #장르종합
0,20210708,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,장르종합,"50,234",#인기순위 #일간순위 #장르종합
0,20210708,30287019,10043575,Rollin',브레이브걸스,531700,롤린 (Rollin'),장르종합,"281,341",#인기순위 #일간순위 #장르종합
0,20210708,33559180,10623687,Taste of Love,TWICE (트와이스),905701,Alcohol-Free,장르종합,"58,123",#인기순위 #일간순위 #장르종합
0,20210708,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,장르종합,"415,796",#인기순위 #일간순위 #장르종합
0,20210708,33372781,10554246,IU 5th Album 'LILAC',아이유,261143,라일락,장르종합,"203,690",#인기순위 #일간순위 #장르종합
0,20210708,33397561,10589127,STAYDOM,STAYC(스테이씨),2899290,ASAP,장르종합,"108,810",#인기순위 #일간순위 #장르종합
0,20210708,33589488,10631122,슬기로운 의사생활 시즌2 OST Part 1,이무진,2138620,비와 당신,장르종합,"50,409",#인기순위 #일간순위 #장르종합
0,20210708,33527705,10614899,안녕 (Hello) - Special Album,조이 (JOY),780922,안녕 (Hello),장르종합,"84,742",#인기순위 #일간순위 #장르종합
0,20210708,32860397,10476623,We Ride,브레이브걸스,531700,운전만해 (We Ride),장르종합,"123,166",#인기순위 #일간순위 #장르종합
0,20210708,33239419,10554246,IU 5th Album 'LILAC',아이유,261143,Celebrity,장르종합,"291,459",#인기순위 #일간순위 #장르종합
0,20210708,33618271,10636091,하루만 더,빅마마,105803,하루만 더,장르종합,"25,091",#인기순위 #일간순위 #장르종합
0,20210708,33510307,10613163,MSG워너비 TOP 8 경연곡,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",2939206,상상더하기,장르종합,"54,235",#인기순위 #일간순위 #장르종합
0,20210708,33359725,10580227,사이렌 Remix,호미들,2754623,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",장르종합,"93,372",#인기순위 #일간순위 #장르종합
0,20210708,1944399,399659,Sg Wanna Be+,SG 워너비,108363,Timeless,장르종합,"95,382",#인기순위 #일간순위 #장르종합
0,20210708,8130796,2677681,Fresh Adventure,라붐 (LABOUM),783462,상상더하기,장르종합,"112,173",#인기순위 #일간순위 #장르종합
0,20210708,33315511,10570193,멜로디,ASH ISLAND,2112495,멜로디,장르종합,"93,935",#인기순위 #일간순위 #장르종합
0,20210708,3414749,1286252,최고의 사랑 OST Part.4,아이유,261143,내 손을 잡아,장르종합,"159,038",#인기순위 #일간순위 #장르종합
0,20210708,33167063,10540298,밝게 빛나는 별이 되어 비춰줄게,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,장르종합,"84,032",#인기순위 #일간순위 #장르종합
0,20210708,32962258,10498123,Savage Love (Laxed - Siren Beat) [BTS Remix],"방탄소년단 , Jason Derulo , Jawsh 685",672375 432140 2868396,Savage Love (Laxed - Siren Beat) (BTS Remix),장르종합,"177,784",#인기순위 #일간순위 #장르종합
0,20210708,33632153,10639807,비 오는 날 듣기 좋은 노래,에픽하이 (EPIK HIGH),108356,비 오는 날 듣기 좋은 노래 (Feat. Colde),장르종합,"31,147",#인기순위 #일간순위 #장르종합
0,20210708,33061995,10518234,밤하늘의 별을(2020),경서,994005,밤하늘의 별을(2020),장르종합,"156,344",#인기순위 #일간순위 #장르종합
0,20210708,31737197,10273641,MAP OF THE SOUL : PERSONA,방탄소년단,672375,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),장르종합,"424,575",#인기순위 #일간순위 #장르종합
0,20210708,33645879,10643590,Love(Prod.Rocoberry),"이성경 , 로꼬",743255 688432,러브(Prod.로코베리),장르종합,"17,041",#인기순위 #일간순위 #장르종합
