,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,20210713,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),2939212,바라만 본다,장르종합,"105,452",#인기순위 #일간순위 #장르종합
0,20210713,33487342,10609232,Next Level,aespa,2899555,Next Level,장르종합,"163,368",#인기순위 #일간순위 #장르종합
0,20210713,33507137,10612483,Butter,방탄소년단,672375,Butter,장르종합,"223,213",#인기순위 #일간순위 #장르종합
0,20210713,33666269,10648182,Butter / Permission to Dance,방탄소년단,672375,Permission to Dance,장르종합,"112,607",#인기순위 #일간순위 #장르종합
0,20210713,33480898,10607796,신호등,이무진,2138620,신호등,장르종합,"107,621",#인기순위 #일간순위 #장르종합
0,20210713,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,장르종합,"65,100",#인기순위 #일간순위 #장르종합
0,20210713,33503722,10611845,HAPPEN,헤이즈 (Heize),751611,헤픈 우연,장르종합,"126,113",#인기순위 #일간순위 #장르종합
0,20210713,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),2939210,나를 아는 사람,장르종합,"60,800",#인기순위 #일간순위 #장르종합
0,20210713,33589260,10631055,Summer Queen,브레이브걸스,531700,치맛바람 (Chi Mat Ba Ram),장르종합,"80,862",#인기순위 #일간순위 #장르종합
0,20210713,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,장르종합,"127,859",#인기순위 #일간순위 #장르종합
0,20210713,33359317,10580103,Justice,Justin Bieber,420621,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"178,580",#인기순위 #일간순위 #장르종합
0,20210713,30287019,10043575,Rollin',브레이브걸스,531700,롤린 (Rollin'),장르종합,"282,097",#인기순위 #일간순위 #장르종합
0,20210713,33559180,10623687,Taste of Love,TWICE (트와이스),905701,Alcohol-Free,장르종합,"60,397",#인기순위 #일간순위 #장르종합
0,20210713,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,장르종합,"416,967",#인기순위 #일간순위 #장르종합
0,20210713,33372781,10554246,IU 5th Album 'LILAC',아이유,261143,라일락,장르종합,"204,701",#인기순위 #일간순위 #장르종합
0,20210713,33397561,10589127,STAYDOM,STAYC(스테이씨),2899290,ASAP,장르종합,"110,453",#인기순위 #일간순위 #장르종합
0,20210713,33527705,10614899,안녕 (Hello) - Special Album,조이 (JOY),780922,안녕 (Hello),장르종합,"87,316",#인기순위 #일간순위 #장르종합
0,20210713,33589488,10631122,슬기로운 의사생활 시즌2 OST Part 1,이무진,2138620,비와 당신,장르종합,"53,805",#인기순위 #일간순위 #장르종합
0,20210713,33239419,10554246,IU 5th Album 'LILAC',아이유,261143,Celebrity,장르종합,"292,046",#인기순위 #일간순위 #장르종합
0,20210713,32860397,10476623,We Ride,브레이브걸스,531700,운전만해 (We Ride),장르종합,"123,871",#인기순위 #일간순위 #장르종합
0,20210713,33510307,10613163,MSG워너비 TOP 8 경연곡,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",2939206,상상더하기,장르종합,"55,571",#인기순위 #일간순위 #장르종합
0,20210713,33618271,10636091,하루만 더,빅마마,105803,하루만 더,장르종합,"27,393",#인기순위 #일간순위 #장르종합
0,20210713,33359725,10580227,사이렌 Remix,호미들,2754623,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",장르종합,"94,972",#인기순위 #일간순위 #장르종합
0,20210713,8130796,2677681,Fresh Adventure,라붐 (LABOUM),783462,상상더하기,장르종합,"113,709",#인기순위 #일간순위 #장르종합
0,20210713,1944399,399659,Sg Wanna Be+,SG 워너비,108363,Timeless,장르종합,"96,096",#인기순위 #일간순위 #장르종합
0,20210713,33315511,10570193,멜로디,ASH ISLAND,2112495,멜로디,장르종합,"95,224",#인기순위 #일간순위 #장르종합
0,20210713,3414749,1286252,최고의 사랑 OST Part.4,아이유,261143,내 손을 잡아,장르종합,"159,814",#인기순위 #일간순위 #장르종합
0,20210713,33167063,10540298,밝게 빛나는 별이 되어 비춰줄게,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,장르종합,"84,846",#인기순위 #일간순위 #장르종합
0,20210713,32962258,10498123,Savage Love (Laxed - Siren Beat) [BTS Remix],"Jawsh 685 , 방탄소년단 , Jason Derulo",2868396 672375 432140,Savage Love (Laxed - Siren Beat) (BTS Remix),장르종합,"179,044",#인기순위 #일간순위 #장르종합
0,20210713,33061995,10518234,밤하늘의 별을(2020),경서,994005,밤하늘의 별을(2020),장르종합,"156,809",#인기순위 #일간순위 #장르종합
0,20210713,33632153,10639807,비 오는 날 듣기 좋은 노래,에픽하이 (EPIK HIGH),108356,비 오는 날 듣기 좋은 노래 (Feat. Colde),장르종합,"34,315",#인기순위 #일간순위 #장르종합
0,20210713,31737197,10273641,MAP OF THE SOUL : PERSONA,방탄소년단,672375,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),장르종합,"425,436",#인기순위 #일간순위 #장르종합
0,20210713,33331004,10573486,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭 , 정은지",510565 644871,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",장르종합,"95,775",#인기순위 #일간순위 #장르종합
0,20210713,1854856,376502,My Friend,SG 워너비,108363,라라라,장르종합,"80,416",#인기순위 #일간순위 #장르종합
0,20210713,32961718,10498032,THE ALBUM,BLACKPINK,995169,Lovesick Girls,장르종합,"194,194",#인기순위 #일간순위 #장르종합
0,20210713,33447280,10600760,GUESS WHO,ITZY (있지),2622030,마.피.아. In the morning,장르종합,"56,146",#인기순위 #일간순위 #장르종합
0,20210713,33668958,10648668,난 너를 사랑해,MSG워너비,2939206,난 너를 사랑해,장르종합,"11,433",#인기순위 #일간순위 #장르종합
0,20210713,33013877,10508266,잠이 오질 않네요,장범준,648551,잠이 오질 않네요,장르종합,"142,625",#인기순위 #일간순위 #장르종합
0,20210713,32559782,10423289,NONSTOP,오마이걸 (OH MY GIRL),857994,Dolphin,장르종합,"186,591",#인기순위 #일간순위 #장르종합
0,20210713,33248758,10556610,추억은 만남보다 이별에 남아,정동하,181188,추억은 만남보다 이별에 남아,장르종합,"49,655",#인기순위 #일간순위 #장르종합
0,20210713,32578498,10426648,에잇,아이유,261143,에잇(Prod.&Feat. SUGA of BTS),장르종합,"362,538",#인기순위 #일간순위 #장르종합
0,20210713,33655615,10645569,다시 사랑할 수 있을까,"이홍기 (FT아일랜드) , 백지영",42554 1118,다시 사랑할 수 있을까,장르종합,"9,598",#인기순위 #일간순위 #장르종합
0,20210713,33077234,10521521,BE,방탄소년단,672375,Life Goes On,장르종합,"220,841",#인기순위 #일간순위 #장르종합
0,20210713,30244931,10037969,YOU NEVER WALK ALONE,방탄소년단,672375,봄날,장르종합,"543,766",#인기순위 #일간순위 #장르종합
0,20210713,32794652,10463600,취기를 빌려 (취향저격 그녀 X 산들),산들,672392,취기를 빌려 (취향저격 그녀 X 산들),장르종합,"195,313",#인기순위 #일간순위 #장르종합
0,20210713,32183386,10346650,Love poem,아이유,261143,Blueming,장르종합,"311,991",#인기순위 #일간순위 #장르종합
0,20210713,33645879,10643590,Love(Prod.Rocoberry),"이성경 , 로꼬",743255 688432,러브(Prod.로코베리),장르종합,"19,263",#인기순위 #일간순위 #장르종합
0,20210713,32061975,10331947,항해,AKMU (악동뮤지션),712452,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",장르종합,"353,738",#인기순위 #일간순위 #장르종합
0,20210713,33372783,10554246,IU 5th Album 'LILAC',아이유,261143,Coin,장르종합,"97,095",#인기순위 #일간순위 #장르종합
0,20210713,32491274,10409054,슬기로운 의사생활 OST Part 3,조정석,253606,아로하,장르종합,"221,435",#인기순위 #일간순위 #장르종합
0,20210713,33359309,10580103,Justice,Justin Bieber,420621,Off My Face,장르종합,"56,395",#인기순위 #일간순위 #장르종합
0,20210713,33496587,10610525,다정히 내 이름을 부르면 (경서예지 x 전건호),"전건호 , 경서예지",2739011 2863470,다정히 내 이름을 부르면,장르종합,"26,460",#인기순위 #일간순위 #장르종합
0,20210713,33346446,10576966,R,로제 (ROSÉ),995171,On The Ground,장르종합,"132,068",#인기순위 #일간순위 #장르종합
0,20210713,33372788,10554246,IU 5th Album 'LILAC',아이유,261143,어푸 (Ah puh),장르종합,"87,022",#인기순위 #일간순위 #장르종합
0,20210713,33077590,10521601,쇼미더머니 9 Episode 1,"머쉬베놈 (MUSHVENOM) , Khundi Panda , 먼치맨(MUNCHMAN) , 미란이 (Mirani)",2745413 1703507 2747971 2866523,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),장르종합,"186,842",#인기순위 #일간순위 #장르종합
0,20210713,32224272,10359162,Boyhood,창모 (CHANGMO),774900,METEOR,장르종합,"265,575",#인기순위 #일간순위 #장르종합
0,20210713,1500196,332658,The Precious History,SG 워너비,108363,내사람,장르종합,"66,519",#인기순위 #일간순위 #장르종합
