,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,20210710,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),2939212,바라만 본다,장르종합,"97,490",#인기순위 #일간순위 #장르종합
0,20210710,33487342,10609232,Next Level,aespa,2899555,Next Level,장르종합,"159,848",#인기순위 #일간순위 #장르종합
0,20210710,33507137,10612483,Butter,방탄소년단,672375,Butter,장르종합,"220,864",#인기순위 #일간순위 #장르종합
0,20210710,33503722,10611845,HAPPEN,헤이즈 (Heize),751611,헤픈 우연,장르종합,"123,870",#인기순위 #일간순위 #장르종합
0,20210710,33480898,10607796,신호등,이무진,2138620,신호등,장르종합,"98,105",#인기순위 #일간순위 #장르종합
0,20210710,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),2939210,나를 아는 사람,장르종합,"58,968",#인기순위 #일간순위 #장르종합
0,20210710,33666269,10648182,Butter / Permission to Dance,방탄소년단,672375,Permission to Dance,장르종합,"93,377",#인기순위 #일간순위 #장르종합
0,20210710,33589260,10631055,Summer Queen,브레이브걸스,531700,치맛바람 (Chi Mat Ba Ram),장르종합,"79,204",#인기순위 #일간순위 #장르종합
0,20210710,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,장르종합,"126,686",#인기순위 #일간순위 #장르종합
0,20210710,33359317,10580103,Justice,Justin Bieber,420621,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"177,341",#인기순위 #일간순위 #장르종합
0,20210710,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,장르종합,"53,913",#인기순위 #일간순위 #장르종합
0,20210710,30287019,10043575,Rollin',브레이브걸스,531700,롤린 (Rollin'),장르종합,"281,585",#인기순위 #일간순위 #장르종합
0,20210710,33559180,10623687,Taste of Love,TWICE (트와이스),905701,Alcohol-Free,장르종합,"58,686",#인기순위 #일간순위 #장르종합
0,20210710,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,장르종합,"416,216",#인기순위 #일간순위 #장르종합
0,20210710,33372781,10554246,IU 5th Album 'LILAC',아이유,261143,라일락,장르종합,"203,989",#인기순위 #일간순위 #장르종합
