,날짜,번호,제목,가수,장르,앨범이름,좋아요
0,20210704,33011180,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,장르종합,나랑 같이 걸을래 (바른연애 길잡이 X 적재),"105,413"
0,20210704,33496587,다정히 내 이름을 부르면,경서예지,장르종합,다정히 내 이름을 부르면 (경서예지 x 전건호),"23,809"
0,20210704,33601086,허리춤,오반 (OVAN),장르종합,허리춤,"15,905"
0,20210704,31509376,12:45 (Stripped),Etham,장르종합,12:45 (Stripped),"141,043"
0,20210704,31029291,2002,Anne-Marie,장르종합,Speak Your Mind (Deluxe),"363,342"
0,20210704,33510308,체념,MSG워너비(정상동기),장르종합,MSG워너비 TOP 8 경연곡,"20,518"
0,20210704,33077234,Life Goes On,방탄소년단,장르종합,BE,"218,297"
0,20210704,32224272,METEOR,창모 (CHANGMO),장르종합,Boyhood,"264,790"
0,20210704,32003395,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,장르종합,멜로가 체질 OST Part 3,"289,448"
0,20210704,30244931,봄날,방탄소년단,장르종합,YOU NEVER WALK ALONE,"541,452"
0,20210704,33571535,추적이는 여름 비가 되어,장범준,장르종합,장범준 싱글,"20,585"
0,20210704,30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,장르종합,'키스 먼저 할까요?' OST Part.3,"370,683"
0,20210704,32224166,너의 번호를 누르고 (Prod. 영화처럼),#안녕,장르종합,너의 번호를 누르고,"80,215"
0,20210704,",3894276",오래된 노래,스탠딩 에그,장르종합,오래된 노래,"229,710"
0,20210704,32438894,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),장르종합,어떻게 지내,"161,385"
0,20210704,33405149,그냥 안아달란 말야,다비치,장르종합,그냥 안아달란 말야,"38,334"
0,20210704,33628324,해야 해,2PM,장르종합,MUST,"19,663"
0,20210704,32055419,Memories,Maroon 5,장르종합,JORDI (Deluxe),"169,836"
0,20210704,32559781,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),장르종합,NONSTOP,"179,730"
0,20210704,31853557,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),장르종합,Red Moon : To You My Light,"240,125"
0,20210704,33229299,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,장르종합,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),"69,687"
0,20210704,33628125,Hello Future,NCT DREAM,장르종합,Hello Future - The 1st Album Repackage,"62,367"
0,20210704,32525311,사실 나는 (Feat.전건호),경서예지,장르종합,사실 나는,"76,574"
0,20210704,32156286,늦은 밤 너의 집 앞 골목길에서,노을,장르종합,늦은 밤 너의 집 앞 골목길에서,"182,696"
0,20210704,33572275,오늘따라 더 미운 그대가,전상근,장르종합,오늘따라 더 미운 그대가,"15,066"
0,20210704,32720013,How You Like That,BLACKPINK,장르종합,How You Like That,"179,558"
0,20210704,33347390,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),장르종합,이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),"46,633"
0,20210704,33638428,나는 너 좋아,장범준,장르종합,슬기로운 의사생활 시즌2 OST Part 3,"6,869"
0,20210704,32998018,힘든 건 사랑이 아니다,임창정,장르종합,힘든 건 사랑이 아니다,"105,575"
0,20210704,33439096,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),장르종합,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),"26,862"
0,20210704,32508053,이제 나만 믿어요,임영웅,장르종합,내일은 미스터트롯 우승자 특전곡,"131,483"
0,20210704,31979846,Dance Monkey,Tones And I,장르종합,The Kids Are Coming,"159,453"
0,20210704,"',711626",살다가,SG 워너비,장르종합,살다가,"68,128"
0,20210704,31341518,Paris In The Rain,Lauv,장르종합,I met you when I was 18. (the playlist),"256,171"
0,20210704,32378104,마음을 드려요,아이유,장르종합,사랑의 불시착 OST Part 11,"210,293"
0,20210704,32143487,Love poem,아이유,장르종합,Love poem,"305,318"
0,20210704,31388145,너를 만나,폴킴,장르종합,너를 만나,"290,282"
0,20210704,33372787,아이와 나의 바다,아이유,장르종합,IU 5th Album 'LILAC',"94,383"
