,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
0,20210707,33625988,10638275,MSG워너비 1집,MSG워너비(M.O.M),2939212,바라만 본다,장르종합,"90,711",#인기순위 #일간순위 #장르종합
0,20210707,33487342,10609232,Next Level,aespa,2899555,Next Level,장르종합,"155,930",#인기순위 #일간순위 #장르종합
0,20210707,33507137,10612483,Butter,방탄소년단,672375,Butter,장르종합,"217,481",#인기순위 #일간순위 #장르종합
0,20210707,33625989,10638275,MSG워너비 1집,MSG워너비(정상동기),2939210,나를 아는 사람,장르종합,"56,977",#인기순위 #일간순위 #장르종합
0,20210707,33503722,10611845,HAPPEN,헤이즈 (Heize),751611,헤픈 우연,장르종합,"121,718",#인기순위 #일간순위 #장르종합
0,20210707,33589260,10631055,Summer Queen,브레이브걸스,531700,치맛바람 (Chi Mat Ba Ram),장르종합,"77,337",#인기순위 #일간순위 #장르종합
0,20210707,33464805,10604729,Dear OHMYGIRL,오마이걸 (OH MY GIRL),857994,Dun Dun Dance,장르종합,"125,382",#인기순위 #일간순위 #장르종합
0,20210707,33359317,10580103,Justice,Justin Bieber,420621,Peaches (Feat. Daniel Caesar & Giveon),장르종합,"176,253",#인기순위 #일간순위 #장르종합
0,20210707,33480898,10607796,신호등,이무진,2138620,신호등,장르종합,"90,967",#인기순위 #일간순위 #장르종합
0,20210707,33655994,10645654,Weekend,태연 (TAEYEON),236797,Weekend,장르종합,"41,683",#인기순위 #일간순위 #장르종합
0,20210707,30287019,10043575,Rollin',브레이브걸스,531700,롤린 (Rollin'),장르종합,"280,868",#인기순위 #일간순위 #장르종합
0,20210707,33559180,10623687,Taste of Love,TWICE (트와이스),905701,Alcohol-Free,장르종합,"56,405",#인기순위 #일간순위 #장르종합
0,20210707,33372781,10554246,IU 5th Album 'LILAC',아이유,261143,라일락,장르종합,"202,997",#인기순위 #일간순위 #장르종합
0,20210707,33397561,10589127,STAYDOM,STAYC(스테이씨),2899290,ASAP,장르종합,"108,005",#인기순위 #일간순위 #장르종합
0,20210707,32872978,10479150,Dynamite (DayTime Version),방탄소년단,672375,Dynamite,장르종합,"414,531",#인기순위 #일간순위 #장르종합
0,20210707,33589488,10631122,슬기로운 의사생활 시즌2 OST Part 1,이무진,2138620,비와 당신,장르종합,"48,817",#인기순위 #일간순위 #장르종합
0,20210707,33527705,10614899,안녕 (Hello) - Special Album,조이 (JOY),780922,안녕 (Hello),장르종합,"83,425",#인기순위 #일간순위 #장르종합
0,20210707,32860397,10476623,We Ride,브레이브걸스,531700,운전만해 (We Ride),장르종합,"122,831",#인기순위 #일간순위 #장르종합
0,20210707,33239419,10554246,IU 5th Album 'LILAC',아이유,261143,Celebrity,장르종합,"290,966",#인기순위 #일간순위 #장르종합
0,20210707,33618271,10636091,하루만 더,빅마마,105803,하루만 더,장르종합,"23,903",#인기순위 #일간순위 #장르종합
0,20210707,33510307,10613163,MSG워너비 TOP 8 경연곡,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",2939206,상상더하기,장르종합,"53,694",#인기순위 #일간순위 #장르종합
0,20210707,33359725,10580227,사이렌 Remix,호미들,2754623,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",장르종합,"92,705",#인기순위 #일간순위 #장르종합
0,20210707,1944399,399659,Sg Wanna Be+,SG 워너비,108363,Timeless,장르종합,"95,112",#인기순위 #일간순위 #장르종합
0,20210707,8130796,2677681,Fresh Adventure,라붐 (LABOUM),783462,상상더하기,장르종합,"111,626",#인기순위 #일간순위 #장르종합
0,20210707,33632153,10639807,비 오는 날 듣기 좋은 노래,에픽하이 (EPIK HIGH),108356,비 오는 날 듣기 좋은 노래 (Feat. Colde),장르종합,"29,677",#인기순위 #일간순위 #장르종합
0,20210707,3414749,1286252,최고의 사랑 OST Part.4,아이유,261143,내 손을 잡아,장르종합,"158,581",#인기순위 #일간순위 #장르종합
0,20210707,33315511,10570193,멜로디,ASH ISLAND,2112495,멜로디,장르종합,"93,358",#인기순위 #일간순위 #장르종합
0,20210707,33167063,10540298,밝게 빛나는 별이 되어 비춰줄게,송이한,2189536,밝게 빛나는 별이 되어 비춰줄게,장르종합,"83,685",#인기순위 #일간순위 #장르종합
0,20210707,33645879,10643590,Love(Prod.Rocoberry),"이성경 , 로꼬",743255 688432,러브(Prod.로코베리),장르종합,"15,593",#인기순위 #일간순위 #장르종합
0,20210707,33061995,10518234,밤하늘의 별을(2020),경서,994005,밤하늘의 별을(2020),장르종합,"156,106",#인기순위 #일간순위 #장르종합
0,20210707,32962258,10498123,Savage Love (Laxed - Siren Beat) [BTS Remix],"방탄소년단 , Jason Derulo , Jawsh 685",672375 432140 2868396,Savage Love (Laxed - Siren Beat) (BTS Remix),장르종합,"176,557",#인기순위 #일간순위 #장르종합
0,20210707,1854856,376502,My Friend,SG 워너비,108363,라라라,장르종합,"79,779",#인기순위 #일간순위 #장르종합
0,20210707,33447280,10600760,GUESS WHO,ITZY (있지),2622030,마.피.아. In the morning,장르종합,"55,203",#인기순위 #일간순위 #장르종합
0,20210707,33331004,10573486,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","정은지 , 양요섭",644871 510565,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",장르종합,"94,928",#인기순위 #일간순위 #장르종합
0,20210707,32961718,10498032,THE ALBUM,BLACKPINK,995169,Lovesick Girls,장르종합,"192,388",#인기순위 #일간순위 #장르종합
0,20210707,33013877,10508266,잠이 오질 않네요,장범준,648551,잠이 오질 않네요,장르종합,"142,062",#인기순위 #일간순위 #장르종합
0,20210707,32559782,10423289,NONSTOP,오마이걸 (OH MY GIRL),857994,Dolphin,장르종합,"185,936",#인기순위 #일간순위 #장르종합
0,20210707,32578498,10426648,에잇,아이유,261143,에잇(Prod.&Feat. SUGA of BTS),장르종합,"361,769",#인기순위 #일간순위 #장르종합
0,20210707,33248758,10556610,추억은 만남보다 이별에 남아,정동하,181188,추억은 만남보다 이별에 남아,장르종합,"48,438",#인기순위 #일간순위 #장르종합
0,20210707,32794652,10463600,취기를 빌려 (취향저격 그녀 X 산들),산들,672392,취기를 빌려 (취향저격 그녀 X 산들),장르종합,"194,838",#인기순위 #일간순위 #장르종합
0,20210707,32061975,10331947,항해,AKMU (악동뮤지션),712452,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",장르종합,"353,061",#인기순위 #일간순위 #장르종합
0,20210707,32183386,10346650,Love poem,아이유,261143,Blueming,장르종합,"311,207",#인기순위 #일간순위 #장르종합
0,20210707,33372783,10554246,IU 5th Album 'LILAC',아이유,261143,Coin,장르종합,"96,066",#인기순위 #일간순위 #장르종합
0,20210707,31737197,10273641,MAP OF THE SOUL : PERSONA,방탄소년단,672375,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),장르종합,"423,597",#인기순위 #일간순위 #장르종합
0,20210707,33655615,10645569,다시 사랑할 수 있을까,"백지영 , 이홍기 (FT아일랜드)",1118 42554,다시 사랑할 수 있을까,장르종합,"5,973",#인기순위 #일간순위 #장르종합
0,20210707,1500196,332658,The Precious History,SG 워너비,108363,내사람,장르종합,"66,108",#인기순위 #일간순위 #장르종합
0,20210707,32491274,10409054,슬기로운 의사생활 OST Part 3,조정석,253606,아로하,장르종합,"220,840",#인기순위 #일간순위 #장르종합
0,20210707,33346446,10576966,R,로제 (ROSÉ),995171,On The Ground,장르종합,"130,149",#인기순위 #일간순위 #장르종합
0,20210707,33359309,10580103,Justice,Justin Bieber,420621,Off My Face,장르종합,"54,595",#인기순위 #일간순위 #장르종합
0,20210707,33077590,10521601,쇼미더머니 9 Episode 1,"미란이 (Mirani) , Khundi Panda , 머쉬베놈 (MUSHVENOM) , 먼치맨(MUNCHMAN)",2866523 1703507 2745413 2747971,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),장르종합,"186,365",#인기순위 #일간순위 #장르종합
0,20210707,31029291,10137250,Speak Your Mind (Deluxe),Anne-Marie,870307,2002,장르종합,"363,565",#인기순위 #일간순위 #장르종합
0,20210707,33107649,10527955,그날에 나는 맘이 편했을까,이예준,718655,그날에 나는 맘이 편했을까,장르종합,"55,616",#인기순위 #일간순위 #장르종합
0,20210707,33372788,10554246,IU 5th Album 'LILAC',아이유,261143,어푸 (Ah puh),장르종합,"85,678",#인기순위 #일간순위 #장르종합
0,20210707,33011180,10507546,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,771375,나랑 같이 걸을래 (바른연애 길잡이 X 적재),장르종합,"105,741",#인기순위 #일간순위 #장르종합
0,20210707,31509376,10235362,12:45 (Stripped),Etham,1907334,12:45 (Stripped),장르종합,"141,419",#인기순위 #일간순위 #장르종합
0,20210707,33496587,10610525,다정히 내 이름을 부르면 (경서예지 x 전건호),"경서예지 , 전건호",2863470 2739011,다정히 내 이름을 부르면,장르종합,"24,687",#인기순위 #일간순위 #장르종합
0,20210707,32003395,10320500,멜로가 체질 OST Part 3,장범준,648551,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장르종합,"289,594",#인기순위 #일간순위 #장르종합
0,20210707,30962526,10149492,'키스 먼저 할까요?' OST Part.3,폴킴,752425,"모든 날, 모든 순간 (Every day, Every Moment)",장르종합,"370,870",#인기순위 #일간순위 #장르종합
0,20210707,33077234,10521521,BE,방탄소년단,672375,Life Goes On,장르종합,"218,705",#인기순위 #일간순위 #장르종합
0,20210707,32224272,10359162,Boyhood,창모 (CHANGMO),774900,METEOR,장르종합,"265,028",#인기순위 #일간순위 #장르종합
0,20210707,30244931,10037969,YOU NEVER WALK ALONE,방탄소년단,672375,봄날,장르종합,"541,753",#인기순위 #일간순위 #장르종합
0,20210707,33510308,10613163,MSG워너비 TOP 8 경연곡,MSG워너비(정상동기),2939210,체념,장르종합,"20,845",#인기순위 #일간순위 #장르종합
0,20210707,33618864,10636269,슬기로운 의사생활 시즌2 OST Part 2,김대명,2086543,가을 우체국 앞에서,장르종합,"20,007",#인기순위 #일간순위 #장르종합
0,20210707,33601086,10632920,허리춤,오반 (OVAN),925515,허리춤,장르종합,"16,844",#인기순위 #일간순위 #장르종합
0,20210707,3894276,2148596,오래된 노래,스탠딩 에그,467880,오래된 노래,장르종합,"229,916",#인기순위 #일간순위 #장르종합
0,20210707,33571535,10625851,장범준 싱글,장범준,648551,추적이는 여름 비가 되어,장르종합,"21,401",#인기순위 #일간순위 #장르종합
0,20210707,32224166,10359126,너의 번호를 누르고,#안녕,1024489,너의 번호를 누르고 (Prod. 영화처럼),장르종합,"80,535",#인기순위 #일간순위 #장르종합
0,20210707,32438894,10399190,어떻게 지내,오반 (OVAN),925515,어떻게 지내 (Prod. By VAN.C),장르종합,"161,668",#인기순위 #일간순위 #장르종합
0,20210707,32055419,10330593,JORDI (Deluxe),Maroon 5,107721,Memories,장르종합,"170,131",#인기순위 #일간순위 #장르종합
0,20210707,32559781,10423289,NONSTOP,오마이걸 (OH MY GIRL),857994,살짝 설렜어 (Nonstop),장르종합,"179,865",#인기순위 #일간순위 #장르종합
0,20210707,33405149,10590812,그냥 안아달란 말야,다비치,236815,그냥 안아달란 말야,장르종합,"38,557",#인기순위 #일간순위 #장르종합
0,20210707,31853557,10294603,Red Moon : To You My Light,마크툽 (MAKTUB),566431,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),장르종합,"240,309",#인기순위 #일간순위 #장르종합
0,20210707,33658484,10646362,밤이 되니까,원슈타인,1702472,밤이 되니까,장르종합,"8,763",#인기순위 #일간순위 #장르종합
0,20210707,33229299,10552055,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,468244,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),장르종합,"69,953",#인기순위 #일간순위 #장르종합
0,20210707,33646995,10643721,한여름밤의 꿀 : 다시 여름 (TEN PROJECT Part.3),"San E , 레이나 (Raina)",402526 672337,한여름밤의 꿀 : 다시 여름,장르종합,"8,417",#인기순위 #일간순위 #장르종합
0,20210707,32525311,10416034,사실 나는,경서예지,2863470,사실 나는 (Feat.전건호),장르종합,"76,802",#인기순위 #일간순위 #장르종합
